date,net
20241001,-75000
20241004,-18810
20241007,66320
20241008,-202000
20241009,-51000
20241011,-241000
20241014,199740
20241015,81000
20241016,-336520
20241017,128530
20241018,13740
20241021,307000
20241022,213400
20241023,-9000
20241024,-1964
20241025,25000
20241028,-229000
20241029,-509000
20241030,-111000
20241101,-154938
20241104,120680
20241105,326760
20241106,-106000
20241107,736010
20241108,-414868
20241111,-49990
20241112,-1051580
20241113,-473300
20241114,-679940
20241115,203000
20241118,-143589
20241119,317515
20241120,-355000
20241121,174000
20241122,315120
20241125,61879
20241126,-395182
20241127,-175407
20241128,-363994
20241129,-38269
20241202,-105487
20241203,437756
20241204,877237
20241205,-1385000
20241206,-339044
20241209,-586925
20241210,-337134
20241211,-114520
20241212,-199120
20241213,-531338
20241216,-317329
20241217,103617
20241218,94758
20241219,-556175
20241220,-668890
20241223,428735
20241224,-97670
20241225,153409
20241226,373000
20241227,29876
20241230,-166412
20241231,64305
20250102,-330197
20250103,95073
20250106,410202
20250107,-71893
20250108,73556
20250109,-873968
20250110,-466680
20250113,-218890
20250114,416930
20250115,-120984
20250116,111788
20250117,307220
20250120,-38990
20250121,305235
20250122,24902
20250203,-188023
20250204,-78527
20250205,445372
20250206,-492448
20250207,-86614
20250210,43485
20250211,-190334
20250212,19858
20250213,940940
20250214,44000
20250217,-26984
20250218,207799
20250219,-120000
20250220,-66000
20250221,354269
20250224,-218997
20250225,-39556
20250226,-34629
20250227,-81394
20250303,-167595
20250304,89520
20250305,259000
20250306,22230
20250307,-101380
20250310,48000
20250311,56105
20250312,550442
20250313,-75500
20250314,396000
20250317,226046
20250318,364000
20250319,176580
20250320,606007
20250321,17762
20250324,-22000
20250325,-15000
20250326,189500
20250327,30170
20250328,-288000
20250331,-954000
20250401,183000
20250402,339772
20250407,146000
20250408,-22240
20250409,199060
20250410,151000
20250411,31159
20250414,87000
20250415,266020
20250416,-420952
20250417,57000
20250418,-232000
20250421,-114378
20250422,76466
20250423,245570
20250424,-25037
20250425,87078
20250428,208922
20250429,196999
20250430,-59999
20250502,162000
20250505,40541
20250506,136140
20250507,300502
20250508,-840557
20250509,78045
20250512,188477
20250513,222838
20250514,287034
20250515,19972
20250516,134119
20250519,-70779
20250520,-37380
20250521,316012
20250522,12504
20250523,-24000
20250526,190000
20250527,14177
20250528,84653
20250529,29326
20250602,-359170
20250603,59750
20250604,453052
20250605,-6418
20250606,182629
20250609,3930
20250610,417554
20250611,140985
20250612,-13606
20250613,-42541
20250616,86846
20250617,416278
20250618,-373161
20250619,-503903
20250620,-709870
20250623,-72000
20250624,352152
20250625,105810
20250626,354662
20250627,434038
20250630,71000
20250701,332740
20250702,98000
20250703,527957
20250704,-155000
20250707,-26799
20250708,35000
20250709,-27000
20250710,32945
20250711,31987
20250714,-157000
20250715,289119
20250716,705000
20250717,222169
20250718,178000
20250721,351600
20250722,-661949
20250723,345089
20250724,-109042
20250725,-61000
20250728,292000
20250729,29000
20250730,172710
20250731,-197000
20250801,294000
20250804,80033
20250805,301131
20250806,-75530
20250807,-158185
20250808,-1556484
20250811,-128000
20250812,-144000
20250813,236125
20250814,-191827
20250815,-277000
20250818,398100
20250819,-129750
20250820,-594000
20250821,586032
20250822,180000
20250825,314000
20250826,-31800
20250827,293680
20250828,398417
20250829,173290
20250901,-863000
20250902,-88000
20250903,-291000
20250904,143047
20250905,73000
20250908,333000
20250909,223000
20250910,295000
20250911,-141000
20250912,1143523
20250915,-811000
20250916,164010
20250917,-544148
20250918,532374
20250919,-1199040
20250922,-1100715
20250923,1499752
20250924,-2231979
20250925,-2766928
20250926,-47194
20250930,-2375025
20251001,-3339892
20251002,427240
20251003,-1898001
20251007,2139020
20251008,60501
20251009,968000
20251013,-483827
20251014,1498671
20251015,-188073
20251016,1086820
20251017,-212940
20251020,1438030
20251021,784201
20251022,719500
20251023,4877498
20251027,5744642
20251028,1773996
20251029,-4176082
20251030,1278940
20251031,-949800
20251103,-3635268
20251104,3898900
20251105,-914752
20251106,-1752800
20251107,184000
20251110,-260200
20251111,-2587598
20251112,-922747
20251113,-1802802
20251114,85959
20251117,-1752634
20251118,-386000
20251119,-2716965
20251120,2827433
20251121,356103
20251124,-58585
20251125,465255
20251126,170300
20251127,-657600
20251128,-1135000
20251201,-1677960
20251202,-200000
20251203,94039
20251204,-579000
20251205,926961
20251208,-383883
20251209,-717000
20251210,1807070
20251211,-2387000
20251212,-659100
20251215,-1601650
20251216,-1170831
20251217,-1089000
20251218,813000
20251219,54000
20251222,536000
20251223,-36900
20251224,-973900
20251226,1289000
20251229,-1000018
20251230,544036
20251231,262024
20260102,2522560
20260105,177350
20260106,4246720
20260107,3451600
20260108,-880815
20260109,-662935
20260112,635950
20260113,3891540
20260114,-2403580
20260115,1445510
20260116,-722451
20260119,8496757
20260120,1857989
20260121,740120
20260122,76872
20260123,-5938625
20260126,-584550
20260127,1397687
20260128,-3250030
20260129,2172240
20260130,-1347465
20260202,1324040
20260203,-1295300
20260204,361609
20260205,-1412770
20260206,888325
20260209,-278917
20260210,-612970
20260211,-417578
20260223,1088988
20260224,7115031
20260225,14780442
20260226,699360
20260302,-998500
20260303,-282905
20260304,-1118577
20260305,-343000
20260306,-129000
20260309,-1950890
20260310,128233
20260311,-1171640
20260312,-2226505
20260313,-242426
20260316,-423358
20260317,-5340515
20260318,3144333
20260319,-773530
20260320,-3182318
20260323,-1725064
20260324,-750650
20260325,333826
20260326,-456263
20260327,-277651
20260330,-750645
20260331,-1410524
20260401,-1495750
20260402,-975095
20260407,-1118000
20260408,671790
20260409,-221249
20260410,1557056
20260413,-140150
20260414,7331240
20260415,1126797
20260416,5691053
20260417,1289226
20260420,1790954
20260421,1315349
20260422,51464
20260423,-3371860
20260424,-396970
20260427,-789320
20260428,1234809
20260429,-2517830
20260430,-435752
20260504,1579460
20260505,7716327
20260506,1692040
20260507,6414378
20260508,-301594
20260511,7375380
20260512,110969
20260513,6393824
20260514,8420962
20260515,1909951
20260518,-308541
20260519,3513768
20260520,2666166
20260521,1800259
20260522,3686654
20260525,115248
20260526,2993415
20260527,2612397
20260528,2529478
20260529,333200
20260601,1135790
20260602,3250660
20260603,-633526
20260604,1625722
20260605,1933350
20260608,948865
20260609,1160395
20260610,447882
20260611,1674791
