date,open,high,low,close,volume
20241001,58.8,58.8,57.9,58.1,554945
20241004,58.1,58.2,57.5,57.9,599312
20241007,57.9,58.9,57.9,58.5,754866
20241008,58.2,58.3,57.6,57.9,384241
20241009,57.9,58.2,57.6,57.6,473319
20241011,57.8,58.4,57.7,58.3,339996
20241014,58.3,58.3,57.8,58.3,434021
20241015,58.3,58.5,57.8,58.4,438642
20241016,58.1,58.5,57.7,58.5,1571458
20241017,58.5,58.6,58.1,58.3,451894
20241018,58.4,58.8,58.1,58.2,448867
20241021,58.8,58.8,58.1,58.7,561903
20241022,58.7,59.0,58.4,58.9,451244
20241023,59.1,59.2,58.5,58.5,537065
20241024,58.8,58.8,58.2,58.6,252973
20241025,58.6,58.7,58.2,58.7,175792
20241028,58.7,59.0,58.3,58.7,360197
20241029,58.3,58.5,57.6,58.2,422840
20241030,58.6,58.6,57.6,57.7,392688
20241101,57.3,57.7,56.8,57.7,1013515
20241104,57.7,57.7,57.0,57.0,565562
20241105,57.2,57.5,56.6,56.7,661214
20241106,56.8,56.9,56.5,56.9,710154
20241107,56.6,57.3,56.6,57.1,1073070
20241108,57.3,57.6,56.3,56.5,1018372
20241111,56.7,57.5,56.7,57.4,1230887
20241112,57.0,57.1,55.9,56.1,1354147
20241113,56.1,57.3,55.8,56.3,1043314
20241114,56.3,56.3,55.4,55.4,1335070
20241115,55.5,57.4,55.4,57.0,933247
20241118,57.0,57.1,56.4,56.8,788576
20241119,56.9,57.1,56.4,56.5,724277
20241120,56.4,56.8,56.1,56.1,586987
20241121,56.1,56.3,55.6,56.1,568019
20241122,56.4,57.3,56.4,57.1,543203
20241125,57.6,57.8,57.1,57.7,1020425
20241126,57.7,57.7,57.2,57.4,454796
20241127,57.4,57.6,57.1,57.1,456530
20241128,57.2,57.2,56.2,56.9,691459
20241129,56.2,57.1,56.1,56.7,475207
20241202,57.3,58.6,56.9,57.9,1079769
20241203,57.6,57.9,57.4,57.8,402523
20241204,57.7,58.4,57.1,57.8,1200702
20241205,58.3,58.4,57.7,58.3,899056
20241206,58.3,58.6,58.1,58.6,597777
20241209,58.6,58.6,57.8,58.0,481746
20241210,58.0,58.1,57.6,57.8,549229
20241211,58.0,58.0,57.2,57.2,484663
20241212,57.1,57.9,57.1,57.2,507998
20241213,57.2,58.4,56.4,57.1,991634
20241216,57.6,58.6,57.6,58.2,2151677
20241217,58.2,58.9,57.2,57.2,1738415
20241218,56.9,58.1,56.9,57.1,2566217
20241219,56.6,57.7,56.6,57.0,2121883
20241220,56.8,57.3,56.0,56.0,2263356
20241223,56.2,57.0,56.2,56.4,2451387
20241224,56.8,58.7,56.7,58.7,3012812
20241225,59.4,59.8,58.4,59.6,2244196
20241226,59.5,59.6,59.0,59.6,1659038
20241227,59.6,59.6,58.3,59.0,1165465
20241230,58.3,59.0,57.9,59.0,1202757
20241231,58.6,58.9,57.8,58.7,974843
20250102,58.3,58.6,57.9,58.5,515550
20250103,58.7,58.7,57.9,58.2,772455
