date,net
20241001,-89100
20241004,-348000
20241007,-276000
20241008,-452000
20241009,-415000
20241011,-293000
20241014,-299411
20241015,-478000
20241016,-431740
20241017,-184000
20241018,-99000
20241021,-75000
20241022,-207082
20241023,24028
20241024,-21966
20241025,-102000
20241028,-102000
20241029,-238200
20241030,-103000
20241101,-10150
20241104,-203000
20241105,-1065011
20241106,-345000
20241107,-276335
20241108,-130453
20241111,-115000
20241112,-641965
20241113,-46000
20241114,-185000
20241115,-102000
20241118,-297000
20241119,-175597
20241120,-139502
20241121,-58000
20241122,55000
20241125,33368
20241126,196003
20241127,16907
20241128,-32000
20241129,403063
20241202,-63904
20241203,-472588
20241204,14789
20241205,-31000
20241206,280257
20241209,-287401
20241210,-137313
20241211,213864
20241212,-291303
20241213,-262528
20241216,-164524
20241217,-1761139
20241218,106000
20241219,-447500
20241220,-22800
20241223,-350383
20241224,-385000
20241225,-47994
20241226,-128000
20241227,-302800
20241230,195712
20241231,-562995
20250102,53530
20250103,115095
20250106,71036
20250107,-11997
20250108,455085
20250109,510000
20250110,221000
20250113,139000
20250114,-212000
20250115,-112560
20250116,33000
20250117,-127133
20250120,-3731
20250121,13244
20250122,156990
20250203,-361594
20250204,43388
20250205,-81070
20250206,-367200
20250207,232279
20250210,83000
20250211,-267626
20250212,-90995
20250213,326000
20250214,-172000
20250217,-48313
20250218,79000
20250219,-68000
20250220,75000
20250221,141163
20250224,-425500
20250225,-477527
20250226,-284000
20250227,-455519
20250303,-173432
20250304,-441000
20250305,-479000
20250306,-516972
20250307,-571950
20250310,-231000
20250311,-467000
20250312,-101968
20250313,-9818
20250314,-279000
20250317,-139090
20250318,-27000
20250319,-441911
20250320,-142950
20250321,-73162
20250324,282000
20250325,-348000
20250326,89543
20250327,-137000
20250328,-389000
20250331,-563269
20250401,-397850
20250402,-143965
20250407,12000
20250408,163065
20250409,213000
20250410,72000
20250411,112317
20250414,264976
20250415,-7712
20250416,11291
20250417,201757
20250418,207226
20250421,-200025
20250422,-116205
20250423,80383
20250424,86774
20250425,92809
20250428,-44828
20250429,-52137
20250430,-14000
20250502,245999
20250505,197000
20250506,132309
20250507,-576357
20250508,-202830
20250509,314061
20250512,-208311
20250513,128521
20250514,-206157
20250515,-149884
20250516,487108
20250519,2610798
20250520,616564
20250521,416926
20250522,196056
20250523,-198042
20250526,148815
20250527,-248145
20250528,-206161
20250529,574563
20250602,-173471
20250603,-319353
20250604,547393
20250605,-324000
20250606,-146833
20250609,50136
20250610,1644996
20250611,949834
20250612,392380
20250613,-240694
20250616,128872
20250617,1456772
20250618,521715
20250619,-136601
20250620,-798992
20250623,713090
20250624,727858
20250625,94772
20250626,18564
20250627,-601569
20250630,213229
20250701,267411
20250702,634409
20250703,1393361
20250704,167054
20250707,998017
20250708,-581000
20250709,-359707
20250710,135933
20250711,-140577
20250714,26443
20250715,-57
20250716,120189
20250717,122194
20250718,-89500
20250721,186500
20250722,-216847
20250723,259682
20250724,35952
20250725,45201
20250728,-77970
20250729,21000
20250730,20297
20250731,147000
20250801,15000
20250804,246009
20250805,283000
20250806,-693395
20250807,-392229
20250808,-140146
20250811,670
20250812,-76995
20250813,6370
20250814,57444
20250815,-13000
20250818,-118221
20250819,-112209
20250820,25659
20250821,36718
20250822,-145000
20250825,90790
20250826,-26338
20250827,11000
20250828,-26472
20250829,-142629
20250901,234050
20250902,54000
20250903,86000
20250904,72700
20250905,84660
20250908,-106310
20250909,122560
20250910,27350
20250911,-140628
20250912,-87806
20250915,-17330
20250916,45000
20250917,-22263
20250918,206239
20250919,-67625
20250922,-306843
20250923,-720025
20250924,-100000
20250925,-341986
20250926,-200000
20250930,-22668
20251001,-13962
20251002,82000
20251003,12620
20251007,278254
20251008,-158000
20251009,-42331
20251013,92308
20251014,64882
20251015,238981
20251016,-296373
20251017,39038
20251020,-75152
20251021,-65069
20251022,10000
20251023,75777
20251027,-689096
20251028,-43312
20251029,-98005
20251030,346674
20251031,-19989
20251103,89677
20251104,7928
20251105,129044
20251106,-38714
20251107,-142054
20251110,108100
20251111,-95439
20251112,168120
20251113,37000
20251114,276553
20251117,-25548
20251118,-49684
20251119,6000
20251120,74624
20251121,69242
20251124,-4100
