date,net
20241001,-46000
20241004,16500
20241007,71100
20241008,-77001
20241009,-63700
20241011,-36000
20241014,34300
20241015,29000
20241016,-31900
20241017,23000
20241018,-118000
20241021,50000
20241022,-12000
20241023,-22000
20241024,-28000
20241025,-34000
20241028,-241750
20241029,-271700
20241030,-273900
20241101,-206100
20241104,-51000
20241105,-147453
20241106,348000
20241107,-497006
20241108,-170773
20241111,-265900
20241112,-58000
20241113,126314
20241114,-104178
20241115,-100663
20241118,-3250
20241119,254162
20241120,-269750
20241121,138063
20241122,-374873
20241125,-33500
20241126,-58000
20241127,-75000
20241128,87000
20241129,47000
20241202,-63000
20241203,40000
20241204,146000
20241205,-25500
20241206,-11000
20241209,-178000
20241210,13000
20241211,-23999
20241212,61000
20241213,-104000
20241216,36000
20241217,-10000
20241218,13000
20241219,-44000
20241220,12000
20241223,17000
20241224,16000
20241225,29093
20241226,-21445
20241227,-87000
20241230,-15645
20241231,-5000
20250102,46581
20250103,-16000
20250106,43000
20250107,-27000
20250108,31823
20250109,-20000
20250110,89989
20250113,63850
20250114,82000
20250115,-5999
20250116,-4000
20250117,62000
20250120,41000
20250121,26000
20250122,54700
20250203,13000
20250204,30000
20250205,21000
20250206,2000
20250207,52000
20250210,20000
20250211,48000
20250212,19000
20250213,108000
20250214,50000
20250217,81000
20250218,16000
20250219,33000
20250220,23000
20250221,12400
20250224,100000
20250225,25001
20250226,25200
20250227,24000
20250303,-16999
20250304,26000
20250305,15000
20250306,6000
20250307,-7000
20250310,5000
20250311,16000
20250312,46000
20250313,-25000
20250314,-5000
20250317,14000
20250318,3000
20250319,40010
20250320,33000
20250321,-25000
20250324,-17000
20250325,26000
20250326,-37000
20250327,-10800
20250328,-73000
20250331,112000
20250401,102000
20250402,40000
20250407,5000
20250408,9000
20250409,202000
20250410,45000
20250411,111000
20250414,105700
20250415,24600
20250416,-59000
20250417,35000
20250418,-4000
20250421,-84000
20250422,16000
20250423,63000
20250424,-9999
20250425,20500
20250428,1000
20250429,43000
20250430,7000
20250502,22000
20250505,-38000
20250506,30000
20250507,10000
20250508,9000
20250509,4000
20250512,60000
20250513,23000
20250514,11000
20250515,26000
20250516,36000
20250519,-20000
20250520,-1000
20250521,39700
20250522,-16000
20250523,6000
20250526,-17000
20250527,-13000
20250528,-3000
20250529,5000
20250602,-14000
20250603,8000
20250604,11015
20250605,2000
20250606,13000
20250609,-23000
20250610,55000
20250611,67000
20250612,13000
20250613,-77000
20250616,-3000
20250617,22000
20250618,20000
20250619,-45000
20250620,-25300
20250623,-4000
20250624,26000
20250625,13000
20250626,18300
20250627,-1000
20250630,-8207
20250701,2000
20250702,10000
20250703,15000
20250704,-32200
20250707,-2000
20250708,-17000
20250709,8980
20250710,-26000
20250711,7000
20250714,-388000
20250715,10000
20250716,20000
20250717,74000
20250718,-32500
20250721,52000
20250722,-72000
20250723,93000
20250724,13000
20250725,-13000
20250728,10000
20250729,-12000
20250730,7000
20250731,-41000
20250801,48000
20250804,23000
20250805,29000
