date,net
20241001,593100
20241004,-360000
20241007,354024
20241008,105990
20241009,-88996
20241011,6970
20241014,-27010
20241015,43000
20241016,-43498
20241017,-242550
20241018,-74700
20241021,-170020
20241022,-87160
20241023,-41994
20241024,-144000
20241025,-568356
20241028,-72754
20241029,57887
20241030,14000
20241101,115750
20241104,-106000
20241105,18000
20241106,71050
20241107,-971940
20241108,-507254
20241111,-341769
20241112,-20950
20241113,-123557
20241114,-56334
20241115,-114000
20241118,-216024
20241119,-126815
20241120,-110554
20241121,-30705
20241122,-39000
20241125,27270
20241126,73612
20241127,-28338
20241128,1366
20241129,-36097
20241202,-194999
20241203,-168476
20241204,189981
20241205,62478
20241206,-123999
20241209,2001
20241210,-106978
20241211,179001
20241212,103085
20241213,-134702
20241216,-49192
20241217,-76181
20241218,-298898
20241219,-98200
20241220,7979
20241223,39103
20241224,-38400
20241225,-16970
20241226,-162506
20241227,7000
20241230,-44368
20241231,-97500
20250102,-248754
20250103,200000
20250106,241000
20250107,67300
20250108,41000
20250109,-27957
20250110,-26965
20250113,-295783
20250114,-115950
20250115,-138445
20250116,-59187
20250117,-143000
20250120,217266
20250121,-410203
20250122,72164
20250203,-464623
20250204,-53150
20250205,-105422
20250206,30000
20250207,-28293
20250210,-142000
20250211,-115041
20250212,-141564
20250213,10403
20250214,-52000
20250217,-120500
20250218,191568
20250219,273608
20250220,386004
20250221,-314629
20250224,-52996
20250225,-31003
20250226,-193995
20250227,-84419
20250303,-252311
20250304,-113609
20250305,-261591
20250306,-904000
20250307,-420895
20250310,-547972
20250311,-592883
20250312,-281772
20250313,-73980
20250314,5000
20250317,-115000
20250318,91000
20250319,-300000
20250320,-236100
20250321,-255458
20250324,-30000
20250325,673363
20250326,511321
20250327,-158005
20250328,11000
20250331,-241000
20250401,-92500
20250402,118519
20250407,200
20250408,-23950
20250409,-83964
20250410,-156007
20250411,71100
20250414,-168000
20250415,-3045
20250416,-32437
20250417,-25254
20250418,-153246
20250421,-132677
20250422,116300
20250423,120000
20250424,66029
20250425,237000
20250428,-28000
20250429,77022
20250430,-67000
20250502,-45640
20250505,-25000
20250506,228850
20250507,32878
20250508,275442
20250509,46964
20250512,36000
20250513,-522485
20250514,238888
20250515,-128900
20250516,64006
20250519,-51442
20250520,-87937
20250521,-107000
20250522,-16100
20250523,136970
20250526,-230688
20250527,-612050
20250528,-339759
20250529,-505408
20250602,-98954
20250603,-544000
20250604,-211189
20250605,343000
20250606,-174441
20250609,-150990
20250610,90000
20250611,55417
20250612,-67000
20250613,-353000
20250616,-3999
20250617,74064
20250618,430888
20250619,-114978
20250620,-254874
20250623,0
20250624,373035
20250625,-138200
20250626,-612564
20250627,-65924
20250630,49793
20250701,155340
20250702,-571000
20250703,-292681
20250704,-680180
20250707,-831803
20250708,-456990
20250709,-215194
20250710,-442205
20250711,255000
20250714,-974000
20250715,-232966
20250716,-909611
20250717,-563325
20250718,-438000
20250721,-260000
20250722,-825300
20250723,-33209
20250724,-9004
20250725,-211000
20250728,-178000
20250729,-224270
20250730,49020
20250731,-69878
20250801,-130080
20250804,68035
20250805,-304515
20250806,-212726
20250807,-390983
20250808,-1227495
20250811,-189875
20250812,-119265
20250813,-3860
20250814,-167107
20250815,-234700
20250818,-226619
20250819,-154980
20250820,-235980
20250821,287007
20250822,-178990
20250825,460030
20250826,-336080
20250827,-459930
20250828,-864993
20250829,-195990
20250901,36930
20250902,14020
20250903,-12000
20250904,162539
20250905,3302
20250908,115015
20250909,-147524
20250910,322005
20250911,-412025
20250912,-445506
20250915,-202212
20250916,159997
20250917,-208890
20250918,135092
20250919,69465
20250922,657510
20250923,-512319
20250924,88410
20250925,-77850
20250926,254000
20250930,-212163
20251001,-116206
20251002,-36900
20251003,606800
20251007,-260095
20251008,-49000
20251009,-29000
20251013,122022
20251014,-41980
20251015,62481
20251016,15681
20251017,-139957
20251020,19000
20251021,96005
20251022,-86200
20251023,-243000
20251027,285000
20251028,7015
20251029,88000
20251030,-61098
20251031,1215882
20251103,-219000
20251104,-39000
20251105,-140000
20251106,-106128
20251107,2000
20251110,176000
20251111,-47000
20251112,-137000
20251113,105000
20251114,-90000
20251117,-35354
20251118,-242639
20251119,7000
20251120,365690
20251121,-345000
20251124,-2228
20251125,1781050
20251126,-451000
20251127,18110
20251128,498000
20251201,-359200
20251202,177000
20251203,24000
20251204,254800
20251205,-423144
20251208,313000
20251209,-245000
20251210,258000
20251211,225252
20251212,155840
20251215,-278000
20251216,-1069000
20251217,-321000
20251218,-175000
20251219,137675
20251222,-121000
20251223,-244000
20251224,-83950
20251226,211000
20251229,1049300
20251230,1159800
20251231,193000
20260102,1490018
20260105,2237870
20260106,1159191
20260107,236200
20260108,-270500
20260109,287770
20260112,-139200
20260113,44000
20260114,1954
20260115,494025
20260116,342030
20260119,308680
20260120,532058
20260121,173916
20260122,440005
20260123,111010
20260126,-244000
20260127,171700
20260128,1320
20260129,-870391
20260130,465453
20260202,409500
20260203,124500
20260204,196300
20260205,12000
20260206,-100921
20260209,394500
20260210,20029
20260211,-311075
20260223,130725
20260224,91220
20260225,447995
20260226,-266062
20260302,204010
20260303,92075
20260304,-214977
20260305,169008
20260306,33018
20260309,-128388
20260310,59600
20260311,120000
20260312,-28990
20260313,-57323
20260316,-134990
20260317,-10992
20260318,-18778
20260319,-164688
20260320,-60569
20260323,299934
20260324,-397000
20260325,620700
20260326,430630
20260327,-51610
20260330,-275138
20260331,-293000
20260401,-299000
20260402,-163000
20260407,-96480
20260408,373946
20260409,412495
20260410,-1287600
20260413,-886000
20260414,-843336
20260415,-626769
20260416,1909591
20260417,-846667
20260420,457925
20260421,-246412
20260422,-635018
20260423,360615
20260424,-677022
20260427,-322904
20260428,166830
20260429,384278
20260430,1614376
20260504,737137
20260505,359990
20260506,202819
20260507,-620367
20260508,38819
20260511,1589407
20260512,-271244
20260513,-41627
20260514,-122957
20260515,669330
20260518,46930
20260519,-278946
20260520,244603
20260521,-320636
20260522,-413748
20260525,1044791
20260526,135975
20260527,-433441
20260528,-138901
20260529,-382118
20260601,-294911
20260602,-6765
20260603,124105
20260604,-152374
20260605,-443467
20260608,188724
20260609,49872
20260610,-73268
20260611,-47328
