date,net
20241001,-458516
20241004,-526239
20241007,-831905
20241008,-386171
20241009,700318
20241011,1057602
20241014,945061
20241015,615736
20241016,535794
20241017,-571000
20241018,-338364
20241021,776637
20241022,786406
20241023,511636
20241024,-85075
20241025,314697
20241028,-508306
20241029,-1143985
20241030,-5150229
20241101,-1654543
20241104,-1520221
20241105,-2230914
20241106,-320653
20241107,32235
20241108,226521
20241111,-233969
20241112,-1277430
20241113,454920
20241114,-1013679
20241115,-472719
20241118,-1173106
20241119,242586
20241120,-102898
20241121,-523000
20241122,-52953
20241125,-649072
20241126,-919812
20241127,-1554608
20241128,-514617
20241129,-506014
20241202,-1225067
20241203,-524628
20241204,-167447
20241205,-1363465
20241206,-576658
20241209,-995077
20241210,-1080851
20241211,-394688
20241212,152730
20241213,-498080
20241216,-1182295
20241217,-1539458
20241218,480088
20241219,-880191
20241220,-288491
20241223,-130591
20241224,-942000
20241225,-359760
20241226,18662
20241227,-386200
20241230,-1280623
20241231,-896171
20250102,203195
20250103,557109
20250106,-1445085
20250107,436410
20250108,396547
20250109,-607000
20250110,-285191
20250113,-1252952
20250114,149015
20250115,-660746
20250116,-289967
20250117,-70000
20250120,558029
20250121,-25053
20250122,1124587
20250203,-866294
20250204,-698941
20250205,424388
20250206,469210
20250207,-968126
20250210,733946
20250211,1238775
20250212,-88741
20250213,22581
20250214,-111738
20250217,927730
20250218,1169770
20250219,3835903
20250220,1602924
20250221,654104
20250224,405220
20250225,874312
20250226,-116831
20250227,1080469
20250303,5562314
20250304,7067969
20250305,498844
20250306,418059
20250307,3735845
20250310,65907
20250311,277714
20250312,2235
20250313,22969
20250314,291619
20250317,-558530
20250318,-475100
20250319,-156313
20250320,571130
20250321,165556
20250324,28854
20250325,-99000
20250326,600964
20250327,285926
20250328,357000
20250331,-328038
20250401,-556000
20250402,470198
20250407,-27000
20250408,-1343000
20250409,-306223
20250410,64000
20250411,-567733
20250414,-455340
20250415,384000
20250416,-501917
20250417,-293500
20250418,-77500
20250421,-187000
20250422,1207570
20250423,-367419
20250424,-586900
20250425,8964
20250428,746997
20250429,579003
20250430,1018917
20250502,-165114
20250505,107366
20250506,87041
20250507,1321457
20250508,688994
20250509,40024
20250512,155042
20250513,150897
20250514,658551
20250515,311164
20250516,86308
20250519,524982
20250520,476705
20250521,1810702
20250522,369129
20250523,195159
20250526,777769
20250527,362006
20250528,781796
20250529,1241609
20250602,598314
20250603,139676
20250604,810035
20250605,367069
20250606,1240341
20250609,1226962
20250610,1370901
20250611,973567
20250612,5214
20250613,418802
20250616,535887
20250617,2551639
20250618,2010925
20250619,2836314
20250620,-763000
20250623,2078601
20250624,-828723
20250625,-2374896
20250626,-64098
20250627,1430563
20250630,-3128477
20250701,-936968
20250702,1077035
20250703,4681286
20250704,2260922
20250707,-1746148
20250708,1663938
20250709,2105789
20250710,478682
20250711,47761
20250714,-198915
20250715,1401187
20250716,1092702
20250717,1351839
20250718,-23000
20250721,936323
20250722,1146950
20250723,1988415
20250724,-1991897
20250725,-283737
20250728,708000
20250729,-859000
20250730,173330
20250731,-2008354
20250801,203000
20250804,68018
20250805,-340828
20250806,-2401980
