date,net
20241001,192070
20241004,-227895
20241007,159032
20241008,-713735
20241009,-35499
20241011,110900
20241014,269000
20241015,228300
20241016,-530547
20241017,34005
20241018,-893965
20241021,1579070
20241022,-123000
20241023,-6798000
20241024,-1639915
20241025,-1982790
20241028,179000
20241029,-342000
20241030,-2071000
20241101,1156528
20241104,-2323000
20241105,-578025
20241106,-501000
20241107,251000
20241108,-999974
20241111,172630
20241112,-1274900
20241113,179000
20241114,385974
20241115,1200000
20241118,12000
20241119,-259000
20241120,-2371800
20241121,413000
20241122,-322850
20241125,512043
20241126,450575
20241127,-778683
20241128,187008
20241129,206787
20241202,-305134
20241203,-701940
20241204,375153
20241205,272000
20241206,320076
20241209,774539
20241210,91235
20241211,42289
20241212,163260
20241213,-271585
20241216,379428
20241217,736351
20241218,589105
20241219,-243093
20241220,130861
20241223,428076
20241224,914000
20241225,-20938
20241226,-22000
20241227,230257
20241230,-160862
20241231,-12000
20250102,60802
20250103,-165206
20250106,1216825
20250107,-278612
20250108,98467
20250109,-1458000
20250110,754000
20250113,1471000
20250114,566012
20250115,347049
20250116,612010
20250117,330250
20250120,749034
20250121,232057
20250122,524538
20250203,249727
20250204,138877
20250205,854012
20250206,679110
20250207,-219280
20250210,-230000
20250211,135142
20250212,-348315
20250213,1140000
20250214,787000
20250217,-594636
20250218,-1887500
20250219,-2119500
20250220,-1186332
20250221,-598072
20250224,-107446
20250225,-202587
20250226,-211884
20250227,-1462153
20250303,224086
20250304,501001
20250305,561000
20250306,-269217
20250307,1002000
20250310,459050
20250311,419000
20250312,269000
20250313,269000
20250314,203000
20250317,2582000
20250318,-961000
20250319,-223194
20250320,-123796
20250321,-581920
20250324,108001
20250325,-28001
20250326,142001
20250327,124000
20250328,-353000
20250331,40000
20250401,382555
20250402,-586000
20250407,-17000
20250408,-123850
20250409,981000
20250410,49000
20250411,528061
20250414,35016
20250415,1057631
20250416,-36529
20250417,223761
20250418,281926
20250421,382820
20250422,260572
20250423,459900
20250424,-291031
20250425,-35134
20250428,1855584
20250429,372375
20250430,-471961
20250502,-175829
20250505,-25796
20250506,256822
20250507,270120
20250508,470883
20250509,593947
20250512,1067885
20250513,672226
20250514,432100
20250515,-3650492
20250516,570190
20250519,-2331069
20250520,354211
20250521,-601161
20250522,1301795
20250523,-373715
20250526,472862
20250527,580579
20250528,737632
20250529,-1905076
20250602,-271858
20250603,4789557
20250604,-4034601
20250605,-814437
20250606,-158772
20250609,394799
20250610,-3814815
20250611,1585653
20250612,1245378
20250613,577958
20250616,1193000
20250617,2587193
20250618,-363000
20250619,818841
20250620,640610
20250623,924000
20250624,2134218
20250625,2989941
20250626,-667974
20250627,-16946
20250630,850919
20250701,208800
20250702,1276600
20250703,1246020
20250704,-1463025
20250707,397290
20250708,-270200
20250709,-576788
20250710,-743851
20250711,153164
20250714,-50887
20250715,470171
20250716,-463000
20250717,436123
20250718,46000
20250721,139000
20250722,-98000
20250723,4430129
20250724,-585960
20250725,-451600
20250728,295100
20250729,-2816000
20250730,-2519000
20250731,284000
20250801,1895000
20250804,-322476
20250805,2024377
20250806,-2717000
20250807,24732
20250808,4203023
20250811,-63000
20250812,646000
20250813,-1329500
20250814,2640248
20250815,-698000
20250818,2035000
20250819,389000
20250820,-1681500
20250821,1725045
20250822,1761000
20250825,1202000
20250826,702117
20250827,885000
20250828,451891
20250829,329033
20250901,1691002
20250902,634000
20250903,-228300
20250904,-331891
20250905,1015000
20250908,834300
20250909,-4158998
20250910,223000
20250911,1577250
20250912,176899
20250915,349000
20250916,468000
20250917,1777800
20250918,-5094781
20250919,1030500
20250922,-1954000
20250923,-1046065
20250924,1595750
20250925,2085036
20250926,389000
20250930,1410962
20251001,-1624904
20251002,-385000
20251003,-6993000
20251007,2968000
20251008,-1292000
20251009,10444000
20251013,-4047900
20251014,-4336739
20251015,-589453
20251016,1797101
20251017,205057
20251020,1991962
20251021,122000
20251022,-1417332
20251023,752267
20251027,5744473
20251028,-1920840
20251029,-987199
20251030,511222
20251031,1488000
20251103,2324000
20251104,-5935999
20251105,-376686
20251106,706000
20251107,464972
20251110,7941000
20251111,958000
