date,open,high,low,close,volume
20241001,21.35,21.45,20.9,21.0,20264517
20241004,21.0,21.25,20.7,20.85,18097053
20241007,20.95,21.0,20.55,20.7,14652859
20241008,20.7,20.8,20.3,20.35,19308868
20241009,20.6,20.65,20.25,20.25,15487211
20241011,20.35,20.35,20.05,20.05,23298189
20241014,20.15,20.2,20.0,20.1,14643005
20241015,20.15,20.5,20.15,20.35,16267249
20241016,20.2,20.2,19.95,20.0,21547430
20241017,20.15,20.5,20.1,20.25,18284388
20241018,20.35,20.4,20.0,20.1,15031649
20241021,20.2,20.4,19.95,20.25,21090197
20241022,20.25,20.25,20.0,20.2,18903181
20241023,20.15,20.45,20.1,20.2,13777424
20241024,20.15,20.15,19.9,19.95,21649671
20241025,20.0,20.05,19.6,19.8,30323157
20241028,19.9,19.9,19.5,19.75,17759014
20241029,19.75,19.75,19.2,19.2,21531070
20241030,19.3,19.5,19.05,19.25,17989671
20241101,19.0,19.4,18.8,19.35,23906503
20241104,19.35,19.35,19.05,19.2,14356133
20241105,19.1,19.25,18.9,19.0,21436015
20241106,19.15,19.3,18.85,18.9,23060512
20241107,18.95,19.85,18.9,19.8,43093064
20241108,19.9,20.05,19.35,19.5,28514082
20241111,19.4,19.4,19.0,19.2,21350299
20241112,18.95,19.1,18.7,18.7,27810051
20241113,18.7,18.75,18.3,18.35,24679537
20241114,18.35,18.35,17.7,17.7,28467962
20241115,17.75,18.15,17.75,18.0,30810137
20241118,18.0,18.05,17.7,17.8,28736986
20241119,17.95,18.15,17.8,18.0,20249114
20241120,18.05,18.25,17.8,17.8,24850865
20241121,17.8,18.0,17.5,17.8,31627381
20241122,17.9,18.1,17.9,18.05,18363361
20241125,18.1,18.15,17.6,17.6,312132640
20241126,17.8,17.85,17.45,17.45,31222537
20241127,17.5,17.5,16.6,16.6,48650408
20241128,16.5,16.6,16.05,16.05,49759782
20241129,16.05,16.25,15.9,16.05,24366264
20241202,16.15,16.3,15.85,15.85,26838570
20241203,16.0,16.2,15.85,15.9,21683288
20241204,16.05,16.2,15.95,16.0,19310500
