date,open,high,low,close,volume
20241001,61.8,62.3,60.3,60.4,1802473
20241004,59.5,59.5,56.3,56.4,5268694
20241007,58.1,58.1,55.2,56.9,3295045
20241008,56.4,56.4,55.2,55.3,1486334
20241009,55.4,56.2,53.6,53.7,2713258
20241011,49.05,53.7,49.05,52.0,6024705
20241014,52.0,52.4,50.4,52.4,2804076
20241015,52.7,53.7,52.2,52.4,2173162
20241016,51.5,53.0,51.0,51.2,1695741
20241017,51.5,54.0,51.5,54.0,2411238
20241018,54.0,54.9,52.7,53.0,2544743
20241021,53.1,58.3,52.7,58.3,5970887
20241022,59.3,63.6,58.8,63.6,30617904
20241023,63.2,67.3,62.2,64.9,33818179
20241024,64.1,65.6,62.3,63.4,13464220
20241025,63.0,64.4,61.5,61.5,5292291
20241028,61.6,63.0,59.0,59.3,4182957
20241029,58.9,60.4,57.8,57.9,3588558
20241030,57.8,58.3,55.9,55.9,2480962
20241101,54.4,58.0,54.1,57.8,2894989
20241104,57.4,57.5,55.5,55.5,1848342
20241105,55.1,59.5,55.1,58.1,4556041
20241106,57.6,58.5,56.6,56.8,1951532
20241107,57.8,60.7,57.3,59.1,4359219
20241108,59.5,60.4,57.6,57.6,3126599
20241111,56.1,56.7,54.9,55.0,2288266
20241112,54.2,54.6,52.0,52.5,2149559
20241113,52.9,53.2,52.1,52.2,1366273
20241114,52.0,55.9,52.0,53.9,5280889
20241115,53.5,55.4,52.4,54.9,3123787
20241118,54.5,54.5,51.6,52.5,2146719
20241119,52.4,53.5,52.4,53.0,1073749
20241120,53.3,53.3,51.8,51.9,907750
20241121,51.9,52.7,51.4,51.8,817267
20241122,52.1,54.4,52.1,52.5,1784411
20241125,52.5,53.3,52.4,52.5,1452446
20241126,52.7,52.7,51.4,51.6,808398
20241127,52.5,52.5,50.0,50.0,1314261
20241128,50.5,51.1,49.2,51.1,1174894
20241129,50.6,51.7,50.5,51.7,807287
20241202,52.0,52.1,50.7,50.7,593446
20241203,51.1,51.9,50.3,50.8,990189
20241204,50.5,51.3,50.3,51.2,566716
20241205,51.3,51.3,50.0,50.1,934312
20241206,50.6,54.4,50.6,51.2,2646464
20241209,51.8,52.1,50.1,50.3,1076931
20241210,52.2,55.1,52.0,52.0,6988969
20241211,51.5,53.5,51.1,53.0,1895852
20241212,53.5,54.5,52.2,52.7,1613232
20241213,52.2,52.2,50.6,50.7,996196
20241216,51.2,51.3,49.7,49.7,1005628
20241217,49.7,51.3,49.7,50.9,810568
20241218,50.9,51.8,49.85,51.6,764203
20241219,50.5,51.7,50.2,51.7,681527
20241220,51.5,52.6,50.9,51.5,937303
20241223,51.3,53.8,51.3,53.2,2122117
20241224,53.5,53.8,51.9,53.0,1189469
20241225,53.3,54.7,53.1,53.8,2151245
20241226,54.3,54.3,52.3,52.3,900999
20241227,52.4,52.6,51.0,51.0,797421
20241230,50.9,51.8,50.2,50.5,581476
20241231,50.7,50.9,49.8,50.6,590998
20250102,50.6,55.6,50.6,55.6,3693058
20250103,59.5,59.6,51.7,52.7,14628072
20250106,53.0,54.1,51.8,53.0,1800276
20250107,53.0,53.3,51.9,51.9,849124
20250108,51.7,52.1,51.0,51.7,723259
20250109,51.5,51.5,50.6,50.7,821265
20250110,50.5,50.6,45.95,46.25,3753947
20250113,45.65,46.05,43.05,44.7,2479921
20250114,44.6,45.4,43.6,45.15,940981
20250115,45.3,45.7,44.15,44.15,883091
20250116,44.5,48.0,44.5,47.5,1521603
20250117,47.25,49.35,47.25,47.7,2394949
20250120,47.2,52.4,47.2,52.4,3659205
20250121,52.4,52.4,49.6,49.9,3798439
20250122,50.2,50.8,49.6,50.4,1218141
20250203,48.8,49.8,48.15,49.15,860532
20250204,49.4,49.7,47.55,47.9,797583
20250205,47.9,48.9,47.9,48.2,433989
20250206,48.3,49.15,47.9,47.95,502297
20250207,47.95,48.75,47.4,47.55,573716
20250210,46.4,47.3,45.25,46.65,1441458
20250211,46.7,47.6,46.5,47.6,781760
20250212,47.8,48.5,46.65,47.1,705505
20250213,47.1,48.2,47.1,47.2,509128
20250214,47.5,47.6,46.9,47.4,313609
20250217,47.45,48.15,46.25,46.3,1103943
20250218,46.35,46.8,45.5,46.55,818565
20250219,47.6,50.7,47.6,49.2,5683916
20250220,49.2,51.8,48.55,49.1,4781188
20250221,49.1,49.45,48.05,48.8,867920
20250224,48.7,48.7,48.15,48.2,518961
20250225,48.15,48.15,47.2,47.2,739217
20250226,47.3,47.4,46.8,47.0,386945
20250227,47.1,47.7,46.2,46.35,568679
20250303,46.4,48.6,46.2,46.2,1819171
20250304,44.6,45.9,44.5,45.8,931721
20250305,46.05,47.5,46.05,47.35,1148477
20250306,47.65,47.65,46.25,46.3,593774
20250307,46.2,46.6,45.65,45.65,397095
20250310,45.45,45.9,45.45,45.5,402608
20250311,44.7,44.7,42.45,44.25,837476
20250312,44.25,44.65,43.25,43.3,498811
20250313,43.35,44.0,42.5,42.5,572238
20250314,42.5,43.35,42.15,42.9,909610
20250317,43.0,43.65,42.5,43.4,867328
20250318,43.5,43.55,42.7,42.7,616891
20250319,43.0,43.0,42.0,42.0,649950
20250320,42.35,42.8,42.05,42.05,594696
20250321,42.55,43.2,41.95,42.9,654731
20250324,42.9,43.1,40.7,40.85,838165
20250325,41.45,41.6,40.1,40.8,1224713
20250326,41.6,41.6,40.55,40.6,456460
20250327,40.5,40.5,39.4,39.4,1039898
20250328,39.2,39.2,37.7,38.15,1622127
20250331,36.45,37.6,35.3,35.45,2310118
20250401,35.35,36.9,35.3,36.4,927550
20250402,36.05,37.6,35.55,37.6,906844
20250407,33.85,33.85,33.85,33.85,80618
20250408,30.5,30.5,30.5,30.5,241460
20250409,27.45,27.45,27.45,27.45,271646
20250410,30.0,30.15,29.4,30.15,2200095
20250411,27.15,29.8,27.15,29.8,1244488
20250414,30.85,31.9,30.3,31.35,1424044
20250415,31.4,33.2,31.4,33.05,990105
20250416,33.3,33.45,31.8,31.8,865168
20250417,31.2,31.6,30.6,31.2,477643
20250418,31.5,31.9,31.2,31.65,466863
20250421,31.85,31.85,30.15,30.5,486943
20250422,30.0,32.4,29.7,31.7,1779036
20250423,32.5,34.7,32.2,33.9,4631415
20250424,33.9,34.15,32.05,32.2,2023088
20250425,33.1,33.3,32.05,32.2,981495
20250428,32.45,32.7,31.8,32.05,486797
20250429,32.3,35.25,32.1,35.25,3504346
20250430,36.65,36.65,34.15,34.7,3996124
20250502,35.1,35.2,34.15,34.25,870338
20250505,34.5,34.5,31.6,32.1,933660
20250506,31.9,34.75,31.9,33.3,1439710
20250507,33.7,33.7,32.55,32.55,497012
20250508,33.15,35.05,33.15,34.3,2263078
20250509,34.65,34.65,33.55,34.4,701294
20250512,34.4,35.1,34.1,34.25,990509
20250513,35.0,35.95,34.4,34.65,1166047
20250514,35.05,35.3,34.7,35.2,916833
20250515,35.15,35.25,34.25,34.25,452319
20250516,34.55,35.4,33.85,33.85,1116289
20250519,34.0,34.0,33.0,33.25,529116
20250520,33.6,33.7,32.6,32.65,387638
20250521,32.55,33.2,32.5,32.55,344003
20250522,32.2,32.8,31.7,32.8,444448
20250523,33.15,33.6,32.7,33.05,479597
20250526,33.2,33.6,32.7,33.15,343032
20250527,33.6,33.8,32.15,32.35,463947
20250528,32.8,33.1,31.8,31.85,331744
20250529,32.25,32.25,31.4,31.9,203880
20250602,32.0,32.3,31.6,32.25,392515
20250603,32.55,32.85,31.9,32.5,334134
20250604,32.6,33.85,32.6,33.45,653280
20250605,34.1,36.75,33.95,36.75,4253335
20250606,37.45,39.65,36.45,38.5,26924690
20250609,39.0,42.35,36.8,42.35,13143425
20250610,42.0,44.5,41.6,41.75,44507222
20250611,40.9,41.25,39.5,40.6,7597157
20250612,40.35,41.3,39.8,40.1,3997550
20250613,40.1,40.6,38.9,40.25,3429201
20250616,41.3,42.95,40.45,40.85,7403845
20250617,40.6,41.75,40.0,41.75,2493566
20250618,41.75,41.95,40.65,40.65,2085553
20250619,41.0,41.0,39.5,39.85,1478920
20250620,39.5,41.95,39.1,41.15,3336815
20250623,40.4,44.5,39.6,43.1,4657367
20250624,43.15,45.2,42.1,42.1,10869471
20250625,42.3,43.1,41.65,42.6,2441004
20250626,42.5,43.7,42.5,42.85,2681384
20250627,43.0,47.1,42.9,47.1,10710426
20250630,47.55,51.8,47.55,51.8,33459547
20250701,54.8,56.9,51.8,52.8,76097110
20250702,52.6,53.8,51.4,53.8,14309152
20250703,54.1,54.3,52.6,54.0,9132476
20250704,53.8,55.5,52.0,55.1,14929990
20250707,54.6,56.9,54.2,54.4,14814380
20250708,54.1,55.2,53.0,54.7,6825086
20250709,54.7,55.9,54.5,55.7,6710453
