date,net
20241001,77000
20241004,-133000
20241007,11000
20241008,-1000
20241009,-16663
20241011,1168
20241014,16232
20241015,232
20241016,-10768
20241017,-39696
20241018,-17000
20241021,66000
20241022,0
20241023,15000
20241024,25000
20241025,-93000
20241028,33000
20241029,-9000
20241030,1000
20241101,24000
20241104,-14000
20241105,3073
20241106,15000
20241107,41073
20241108,-27000
20241111,-3146
20241112,4000
20241113,4073
20241114,-5000
20241115,3073
20241118,3854
20241119,-5000
20241120,-20000
20241121,-3000
20241122,13000
20241125,27000
20241126,13000
20241127,16000
20241128,12000
20241129,-2000
20241202,0
20241203,9000
20241204,17000
20241205,0
20241206,5000
20241209,-7000
20241210,6000
20241211,-2000
20241212,0
20241213,13000
20241216,7000
20241217,8000
20241218,-3000
20241219,1000
20241220,-12000
20241223,1000
20241224,7000
20241225,19000
20241226,20000
20241227,2000
20241230,14000
20241231,9000
20250102,11000
20250103,15000
20250106,21000
20250107,43000
20250108,-144000
20250109,-60000
20250110,35000
20250113,10000
20250114,-46000
20250115,9000
20250116,-1000
20250117,-1000
20250120,15464
20250121,16000
20250122,17000
20250203,6000
20250204,-2000
20250205,18000
20250206,31000
20250207,35000
20250210,10000
20250211,3407
20250212,-19374
20250213,24626
20250214,33627
20250217,-9000
20250218,62628
20250219,-6364
20250220,-8354
20250221,13642
20250224,-11362
20250225,4641
20250226,2637
20250227,6634
20250303,3636
20250304,1636
20250305,5635
20250306,3645
20250307,-355
20250310,2643
20250311,5623
20250312,11690
20250313,3653
20250314,4657
20250317,21652
20250318,10650
20250319,5648
20250320,40670
20250321,-4411
20250324,5596
20250325,616
20250326,1631
20250327,8612
20250328,-15385
20250331,-25386
20250401,17058
20250402,18759
20250407,2000
20250408,2470
20250409,-9584
20250410,62393
20250411,31297
20250414,-13723
20250415,36239
20250416,-79735
20250417,223
20250418,3000
20250421,-1779
20250422,-4692
20250423,5090
20250424,-5932
20250425,11964
20250428,3360
20250429,-823
20250430,-1634
20250502,-137869
20250505,26698
20250506,5281
20250507,10740
20250508,19270
20250509,7151
20250512,2301
20250513,1444
20250514,27686
