date,net
20241001,-130380
20241004,-144395
20241007,-85522
20241008,-148521
20241009,-289000
20241011,-22003
20241014,40110
20241015,11477
20241016,-215077
20241017,-57820
20241018,-377486
20241021,648000
20241022,251130
20241023,-227176
20241024,169900
20241025,-163000
20241028,-131000
20241029,-50867
20241030,-27371
20241101,-738528
20241104,-142446
20241105,-340857
20241106,308000
20241107,-30080
20241108,-127633
20241111,120906
20241112,-120145
20241113,-64200
20241114,-71260
20241115,-41000
20241118,22294
20241119,130050
20241120,180889
20241121,18000
20241122,226180
20241125,469472
20241126,165600
20241127,-322710
20241128,-86000
20241129,208001
20241202,228466
20241203,50202
20241204,568962
20241205,-10110
20241206,-74771
20241209,-41298
20241210,-30304
20241211,-83302
20241212,-60419
20241213,238680
20241216,-103579
20241217,357075
20241218,-245131
20241219,-358882
20241220,-232874
20241223,4573
20241224,-123520
20241225,3307
20241226,-63462
20241227,112125
20241230,-35000
20241231,-54257
20250102,-289235
20250103,26665
20250106,134100
20250107,25030
20250108,-190485
20250109,-334932
20250110,-8420
20250113,-78294
20250114,-21000
20250115,1160
20250116,75330
20250117,-34140
20250120,31775
20250121,-66100
20250122,-93450
20250203,-43675
20250204,-18686
20250205,-281900
20250206,-489944
20250207,39670
20250210,-183330
20250211,-955645
20250212,164384
20250213,214575
20250214,103000
20250217,2050
20250218,-17826
20250219,8934
20250220,-48352
20250221,-11884
20250224,-13000
20250225,-423226
20250226,-218879
20250227,-172275
20250303,-575644
20250304,-298320
20250305,-17298
20250306,68521
20250307,-73993
20250310,389855
20250311,-52000
20250312,-310601
20250313,-153883
20250314,-79744
20250317,-37131
20250318,18959
20250319,-19059
20250320,-92779
20250321,-23815
20250324,-115743
20250325,-139000
20250326,-71000
20250327,-215437
20250328,-352000
20250331,95966
20250401,210535
20250402,3341
20250407,9592
20250408,111668
20250409,132886
20250410,41579
20250411,258833
20250414,144309
20250415,32198
20250416,-30380
20250417,34683
20250418,-9051
20250421,74000
20250422,-22194
20250423,0
20250424,-998088
20250425,725404
20250428,245128
20250429,357000
20250430,223502
20250502,-73396
20250505,-35313
20250506,35390
20250507,-37064
20250508,106400
20250509,8249
20250512,445
20250513,-19824
20250514,-24687
20250515,-85980
20250516,-85992
20250519,-18000
20250520,38000
20250521,63333
20250522,-82358
20250523,-231518
20250526,-241000
20250527,-61050
20250528,-7120
20250529,2758
20250602,-164755
20250603,15393
20250604,-172804
20250605,9150
20250606,26271
20250609,-23887
20250610,59000
20250611,40657
20250612,-53937
20250613,-38425
20250616,-19000
20250617,54999
20250618,-66115
20250619,-94974
20250620,-10279
20250623,-67873
20250624,185196
20250625,133882
20250626,43582
20250627,234585
20250630,-183000
20250701,-234756
20250702,-73522
20250703,35000
20250704,82000
20250707,-36249
20250708,-191000
20250709,101579
20250710,97027
20250711,140000
20250714,-88225
20250715,-22968
20250716,84635
20250717,94697
20250718,-63600
20250721,24825
20250722,-196200
20250723,240794
20250724,-8004
20250725,-30200
20250728,-78000
20250729,-13236
20250730,-256080
20250731,-199457
20250801,197900
20250804,158732
20250805,-403494
20250806,-613323
20250807,-976874
20250808,50801
20250811,238458
20250812,1010789
20250813,588342
20250814,176185
20250815,735554
20250818,-474199
20250819,738658
20250820,-172356
20250821,341711
20250822,-224607
20250825,367150
20250826,599930
20250827,-146020
20250828,91857
20250829,80640
20250901,324300
20250902,82257
20250903,44500
20250904,-154207
20250905,438623
20250908,-465070
20250909,-63203
20250910,203204
20250911,-519036
20250912,352600
20250915,90890
20250916,317879
20250917,-372373
20250918,105413
20250919,-920510
20250922,-178840
20250923,-171457
20250924,101691
20250925,-201993
20250926,134278
20250930,-105620
20251001,82717
20251002,-83450
20251003,294321
20251007,-231846
20251008,142746
20251009,-8064
20251013,-86748
20251014,-42953
20251015,160260
20251016,-58932
20251017,526758
20251020,-77380
20251021,221877
20251022,-95880
20251023,-195871
20251027,-86174
20251028,-261642
20251029,-76676
20251030,-1222346
20251031,-738075
20251103,-437982
20251104,-375142
20251105,-117349
20251106,-125391
20251107,-119990
20251110,-123000
20251111,-135319
20251112,26300
20251113,-118652
20251114,110730
20251117,-66000
20251118,-462431
20251119,-372626
20251120,-59256
20251121,58760
20251124,538777
20251125,77230
20251126,-62543
20251127,-57340
20251128,-23000
20251201,-254143
20251202,41227
20251203,12000
20251204,-152650
20251205,-24960
20251208,-19777
20251209,32000
20251210,-10000
20251211,16900
20251212,-49000
20251215,-51872
20251216,-132924
20251217,-344010
20251218,-40527
20251219,28000
20251222,-19375
20251223,-232000
20251224,-315900
20251226,-33000
20251229,-77440
20251230,-342239
20251231,-5906
20260102,-69103
20260105,2605
20260106,256314
20260107,595628
20260108,278765
20260109,-37947
20260112,-628252
20260113,-570567
20260114,-258780
20260115,-253070
20260116,-226258
20260119,-177900
20260120,-127694
20260121,-104780
20260122,-79750
20260123,-409143
20260126,-134470
20260127,-55883
20260128,-194100
20260129,-220954
20260130,-966354
20260202,10460
20260203,58500
20260204,-92860
20260205,-10930
20260206,-73893
20260209,-21846
20260210,21000
20260211,-181658
20260223,-342479
20260224,-42530
20260225,184000
20260226,-291004
20260302,-313450
20260303,-165112
20260304,-141642
20260305,-11150
20260306,-375
20260309,-77165
20260310,132722
20260311,117420
20260312,-69870
20260313,-144624
20260316,645
20260317,-386689
20260318,163117
20260319,-293764
20260320,211137
20260323,-283807
20260324,-79136
20260325,-50495
20260326,14684
20260327,-50290
20260330,-148923
20260331,17040
20260401,21847
20260402,-63700
20260407,-15670
20260408,-219576
20260409,-126744
20260410,-135855
20260413,-405775
20260414,-137745
20260415,-187494
20260416,251190
20260417,-91010
20260420,-288930
20260421,-35500
20260422,178920
20260423,206352
20260424,-87788
20260427,-777900
20260428,-733628
20260429,-188554
20260430,-185824
20260504,-219951
20260505,46498
20260506,-19049
20260507,-74622
20260508,2019873
20260511,-82000
20260512,5170586
20260513,1850873
20260514,471587
20260515,761819
20260518,160981
20260519,77897
20260520,248590
20260521,-200162
20260522,-19940
20260525,-477900
20260526,-482634
20260527,1108212
20260528,243746
20260529,674375
20260601,-574819
20260602,40444
20260603,-567994
20260604,389455
20260605,329984
20260608,-241211
20260609,120142
20260610,177257
20260611,197332
