date,net
20241001,72016
20241004,215217
20241007,-77047
20241008,-375182
20241009,803064
20241011,490748
20241014,110142
20241015,421465
20241016,286769
20241017,-397000
20241018,-132870
20241021,1534130
20241022,959728
20241023,110129
20241024,73360
20241025,603563
20241028,378970
20241029,-439191
20241030,1592226
20241101,123475
20241104,-971597
20241105,-265457
20241106,1773673
20241107,1516049
20241108,-277022
20241111,911919
20241112,417893
20241113,260937
20241114,-266848
20241115,299141
20241118,191013
20241119,142151
20241120,-121476
20241121,-245000
20241122,-1042627
20241125,275885
20241126,-99683
20241127,242088
20241128,-1251290
20241129,398541
20241202,-387912
20241203,604999
20241204,2094901
20241205,2068104
20241206,797008
20241209,297214
20241210,496979
20241211,862502
20241212,-154241
20241213,473176
20241216,157988
20241217,-81559
20241218,265415
20241219,-2102083
20241220,-156656
20241223,-144312
20241224,1021000
20241225,34454
20241226,1518686
20241227,-39347
20241230,-76966
20241231,-261353
20250102,-152030
20250103,-217538
20250106,233023
20250107,379008
20250108,281768
20250109,-757000
20250110,-58561
20250113,-245887
20250114,132270
20250115,-263900
20250116,15444
20250117,-294190
20250120,-108593
20250121,177058
20250122,264106
20250203,156749
20250204,2052963
20250205,1202290
20250206,42949
20250207,163918
20250210,334138
20250211,98248
20250212,20206
20250213,-37343
20250214,-127772
20250217,-114824
20250218,705059
20250219,-353245
20250220,-353691
20250221,-501552
20250224,-688433
20250225,-253418
20250226,-384508
20250227,-342246
20250303,-1063568
20250304,-16104
20250305,-294171
20250306,415725
20250307,-345730
20250310,-469313
20250311,176313
20250312,457545
20250313,-291104
20250314,2281
20250317,-247310
20250318,487684
20250319,-576627
20250320,279689
20250321,-118948
20250324,-348429
20250325,-199000
20250326,-43100
20250327,-537274
20250328,-1685023
20250331,837546
20250401,640000
20250402,-43727
20250407,10000
20250408,163000
20250409,-397718
20250410,431097
20250411,584395
20250414,599985
20250415,267664
20250416,126998
20250417,258000
20250418,-627499
20250421,112499
20250422,-47000
20250423,308430
20250424,390633
20250425,-18322
20250428,-9903
20250429,265167
20250430,810375
20250502,20455
20250505,471094
20250506,-265954
20250507,449308
20250508,730579
20250509,333268
20250512,312363
20250513,-186733
20250514,-326500
20250515,893674
20250516,209812
20250519,-244443
20250520,354493
20250521,-47525
20250522,123382
20250523,187846
20250526,-84353
20250527,-48767
20250528,-114452
20250529,974218
20250602,-289520
20250603,-211781
20250604,-1083447
20250605,-857000
20250606,-701447
20250609,-631202
20250610,-433936
20250611,-861921
20250612,-1272468
20250613,-1026156
20250616,-124000
20250617,-10243
20250618,-937737
20250619,-430485
20250620,-541000
20250623,-242504
20250624,-26526
20250625,49380
20250626,-833178
20250627,-207675
20250630,-134361
20250701,281320
20250702,35241
20250703,508625
20250704,-986000
20250707,16022
20250708,-180073
20250709,505176
20250710,332278
20250711,154743
20250714,85930
20250715,-38572
20250716,-39703
20250717,652089
20250718,-20000
20250721,113500
20250722,-68309
20250723,163833
20250724,-24325
20250725,250388
20250728,194420
20250729,-16000
20250730,12725
20250731,-39442
20250801,731000
20250804,-301709
20250805,-310722
20250806,-451360
20250807,-1333047
20250808,-1053825
20250811,-388081
20250812,-91063
20250813,-352484
20250814,-165843
20250815,12015
20250818,-2772
20250819,-157855
20250820,-214951
20250821,46033
20250822,-115750
20250825,298600
20250826,-74768
20250827,441000
20250828,-207205
20250829,-212081
20250901,-261000
20250902,-269504
20250903,-1326381
20250904,-938538
20250905,-488568
20250908,-474685
20250909,-344355
20250910,-960418
20250911,-1121179
20250912,-341677
20250915,-261713
20250916,-35903
20250917,-324339
20250918,-149751
20250919,-1351145
20250922,-852970
20250923,-676853
20250924,-1340890
20250925,-302020
20250926,257177
20250930,-66164
20251001,-502291
20251002,-210000
20251003,1775880
20251007,-258560
20251008,-52494
20251009,-202978
20251013,-133308
20251014,-239170
20251015,-298641
20251016,191471
20251017,-134961
20251020,199316
20251021,744550
20251022,309882
20251023,136770
20251027,-548077
20251028,-510684
20251029,-326512
20251030,-425523
20251031,-932011
20251103,-434742
20251104,-249742
20251105,-156136
20251106,30853
20251107,262808
20251110,31000
20251111,160150
20251112,1384714
20251113,548979
20251114,643300
20251117,872135
20251118,234387
20251119,-264000
20251120,189637
20251121,160184
20251124,29044
20251125,110922
20251126,773780
20251127,68990
20251128,544531
20251201,99286
20251202,608041
20251203,199453
20251204,140109
20251205,-291839
20251208,18565
20251209,-130302
20251210,46109
20251211,-302813
20251212,-539095
20251215,-90000
20251216,-353902
20251217,70265
20251218,435921
20251219,-22342
20251222,85447
20251223,68756
20251224,-708212
20251226,-1335670
20251229,-477000
20251230,-605000
20251231,-157475
20260102,-370921
20260105,-472975
20260106,-575169
20260107,-123080
20260108,-792016
20260109,-868210
20260112,-614158
20260113,-682584
20260114,-123800
20260115,-447743
20260116,-654535
20260119,475836
20260120,-357560
20260121,-485605
20260122,-426238
20260123,-426025
20260126,-762300
20260127,-358612
20260128,-519524
20260129,-401727
20260130,-856952
20260202,-703981
20260203,320435
20260204,-35120
20260205,581496
20260206,-594730
20260209,-34193
20260210,600277
20260211,-241733
20260223,1119010
20260224,-510805
20260225,-521968
20260226,365058
20260302,110046
20260303,331498
20260304,2242975
20260305,3321495
20260306,-191084
20260309,1619730
20260310,675000
20260311,414553
20260312,2112888
20260313,235376
20260316,-9083
20260317,-252914
20260318,350215
20260319,-761234
20260320,-736023
20260323,-583190
20260324,-789658
20260325,83081
20260326,2242473
20260327,2155000
20260330,-1050539
20260331,167047
20260401,-175995
20260402,-618207
20260407,358508
20260408,2015657
20260409,1607008
20260410,118325
20260413,2938339
20260414,1244492
20260415,1046745
20260416,1633148
20260417,944591
20260420,-50046
20260421,1927062
20260422,1110536
20260423,1513528
20260424,-391264
20260427,-382848
20260428,322167
20260429,-183181
20260430,306288
20260504,-94563
20260505,771006
20260506,742864
20260507,376532
20260508,1834265
20260511,-334077
20260512,-69605
20260513,-85359
20260514,1797288
20260515,-1074000
20260518,462013
20260519,1392044
20260520,1891345
20260521,817750
20260522,860664
20260525,69283
20260526,503805
20260527,-287158
20260528,595323
20260529,-366803
20260601,326781
20260602,58119
20260603,-148101
20260604,-53009
20260605,-24163
20260608,-240804
20260609,-584276
20260610,-2832582
20260611,-591654
