date,net
20241001,-158000
20241004,-262000
20241007,270000
20241008,-197000
20241009,64000
20241011,71000
20241014,207891
20241015,375963
20241016,-452531
20241017,-21000
20241018,-337031
20241021,476996
20241022,-54000
20241023,-96000
20241024,-90992
20241025,-94000
20241028,-15000
20241029,-407000
20241030,2000
20241101,-29545
20241104,-562000
20241105,-704000
20241106,432035
20241107,241136
20241108,-42869
20241111,278020
20241112,-215020
20241113,-95990
20241114,-512980
20241115,255350
20241118,-506833
20241119,26000
20241120,-141946
20241121,-24000
20241122,-12000
20241125,77043
20241126,56000
20241127,-10831
20241128,-63000
20241129,123264
20241202,-28715
20241203,37113
20241204,309096
20241205,-154000
20241206,-44188
20241209,-150368
20241210,-18354
20241211,-23883
20241212,91653
20241213,-169000
20241216,-83000
20241217,141000
20241218,768630
20241219,200240
20241220,-436165
20241223,243617
20241224,46000
20241225,184648
20241226,-54017
20241227,194907
20241230,167741
20241231,-258000
20250102,-134245
20250103,204002
20250106,201900
20250107,744850
20250108,298765
20250109,323000
20250110,-523370
20250113,91200
20250114,-468000
20250115,-1071859
20250116,589256
20250117,-392840
20250120,113420
20250121,-270000
20250122,-215000
20250203,5721
20250204,223000
20250205,-38762
20250206,34555
20250207,563010
20250210,-202000
20250211,-382999
20250212,-4262
20250213,-59820
20250214,-81000
20250217,229003
20250218,133983
20250219,-808182
20250220,-1745777
20250221,-1837693
20250224,-893974
20250225,-351707
20250226,-636060
20250227,19537
20250303,-518685
20250304,-541675
20250305,-397266
20250306,-410751
20250307,-137354
20250310,-353759
20250311,-356424
20250312,-201874
20250313,-64695
20250314,-10795
20250317,-141470
20250318,-52124
20250319,-318927
20250320,168241
20250321,-90751
20250324,-250000
20250325,-19000
20250326,-56000
20250327,-125000
20250328,515000
20250331,481121
20250401,117882
20250402,-7000
20250407,12000
20250408,636465
20250409,981075
20250410,-19000
20250411,82683
20250414,-245581
20250415,-15408
20250416,-25339
20250417,127780
20250418,-22495
20250421,71132
20250422,147293
20250423,160019
20250424,73279
20250425,153268
20250428,-48296
20250429,46429
20250430,-32489
20250502,-31515
20250505,25809
20250506,-443000
20250507,-215631
20250508,-26025
20250509,-606076
20250512,312763
20250513,-136465
20250514,-82368
20250515,-190123
20250516,-173706
20250519,-358685
20250520,-82176
20250521,77398
20250522,-234083
20250523,-28000
20250526,91432
20250527,47371
20250528,136191
20250529,-2588
20250602,-147989
20250603,-89549
20250604,139900
20250605,-18652
20250606,13000
20250609,-67726
20250610,73103
20250611,-1571246
20250612,-134703
20250613,-561000
20250616,-153811
20250617,122208
20250618,203505
20250619,-563963
20250620,-285622
20250623,-72515
20250624,508297
20250625,72706
20250626,-967086
20250627,-239718
20250630,-586352
20250701,-293445
20250702,-189000
20250703,-56360
20250704,191811
20250707,-14738
20250708,-944
