date,net
20241001,-314648
20241004,475695
20241007,-776765
20241008,-754772
20241009,956502
20241011,3849420
20241014,49789
20241015,218852
20241016,-447633
20241017,-967073
20241018,2465203
20241021,-203432
20241022,-705980
20241023,450001
20241024,181248
20241025,1883010
20241028,1458231
20241029,-672402
20241030,449836
20241101,-615716
20241104,-761330
20241105,-675713
20241106,475174
20241107,-131154
20241108,-1397608
20241111,-308232
20241112,-872283
20241113,-722687
20241114,78323
20241115,729695
20241118,-255046
20241119,997758
20241120,-491478
20241121,-204452
20241122,2749772
20241125,-368562
20241126,-534916
20241127,-723562
20241128,-448476
20241129,-441023
20241202,2401764
20241203,264709
20241204,154256
20241205,1210944
20241206,-437251
20241209,907301
20241210,1394036
20241211,-654761
20241212,1687987
20241213,1162115
20241216,-1010241
20241217,1822758
20241218,-928895
20241219,-344621
20241220,-1042358
20241223,-77282
20241224,-59628
20241225,-122953
20241226,355364
20241227,637825
20241230,-472540
20241231,-671115
20250102,-2382484
20250103,341319
20250106,3742466
20250107,3778209
20250108,332809
20250109,501058
20250110,1719648
20250113,-2896469
20250114,-789179
20250115,1726612
20250116,650421
20250117,-934891
20250120,150102
20250121,1188782
20250122,421585
20250203,4001870
20250204,-677
20250205,2908261
20250206,-295005
20250207,-930402
20250210,-3229087
20250211,828766
20250212,-1129312
20250213,1573695
20250214,-425254
20250217,2071915
20250218,167523
20250219,921973
20250220,-2449417
20250221,-265957
20250224,2151012
20250225,609904
20250226,1189163
20250227,-2479670
20250303,-3231923
20250304,391385
20250305,-319293
20250306,-646070
20250307,-1688004
20250310,-3063159
20250311,-1015166
20250312,-702424
20250313,-889120
20250314,720612
20250317,654081
20250318,2290880
20250319,428443
20250320,-469865
20250321,-265236
20250324,602123
20250325,2898640
20250326,-219963
20250327,-854225
20250328,-1108414
20250331,-1425179
20250401,285212
20250402,-685709
20250407,458977
20250408,-1662859
20250409,-1686403
20250410,-233203
20250411,1936119
20250414,2511293
20250415,135002
20250416,296401
20250417,-1225729
20250418,119040
20250421,-504943
20250422,-1218308
20250423,1218901
20250424,-2074227
20250425,1276018
20250428,-2616756
20250429,-867654
20250430,-1309171
20250502,-7607548
20250505,907042
20250506,-1120392
20250507,233601
20250508,-380712
20250509,239299
20250512,-1378067
20250513,916886
20250514,-1101333
20250515,1372820
20250516,-737442
20250519,-3599391
20250520,184450
20250521,519314
20250522,-473466
20250523,-1451676
20250526,-3312375
20250527,-1607373
20250528,-1702480
20250529,-4414083
20250602,-2675939
20250603,-308896
20250604,-2140750
20250605,-4808396
20250606,1303859
20250609,-704717
20250610,2274988
20250611,-2057841
20250612,-2974843
20250613,-3402015
20250616,-543370
20250617,-610225
20250618,448155
20250619,-1144976
20250620,-1443202
20250623,-683682
20250624,-373247
20250625,1587157
20250626,-1000860
20250627,-239489
20250630,-3222028
20250701,1430379
20250702,-17826
20250703,-2291053
20250704,2375480
20250707,-1443600
20250708,-411541
20250709,6011034
20250710,2329709
20250711,743054
20250714,-352057
20250715,-582931
20250716,235122
20250717,-1613597
20250718,1700163
20250721,-213963
20250722,2394174
20250723,-289331
20250724,-29453
20250725,1700658
20250728,-1004275
20250729,-1687776
20250730,994
20250731,-1768778
20250801,-2115595
20250804,-1170692
20250805,-1338162
20250806,-296726
20250807,1020317
20250808,-1328763
20250811,-150138
20250812,-300542
20250813,-132033
20250814,604038
20250815,-881998
20250818,2761709
20250819,14650
20250820,-919506
20250821,-194
20250822,49205
20250825,2045192
20250826,-1183185
20250827,156048
20250828,-173830
20250829,-1473451
20250901,-303670
20250902,486076
20250903,1568159
20250904,567762
20250905,4363567
20250908,681224
20250909,4380207
20250910,-464609
20250911,451731
20250912,-94174
20250915,384431
20250916,2429314
20250917,-405739
20250918,-74818
20250919,-4761649
20250922,-1675268
20250923,-6877636
20250924,-5487116
20250925,-3125736
20250926,-3459803
20250930,-2266717
20251001,-4095246
20251002,-3432834
20251003,-729574
20251007,-1311267
20251008,38420
20251009,-589993
20251013,-2852599
20251014,-925413
20251015,-662387
20251016,188172
20251017,320274
20251020,-477183
20251021,-877868
20251022,-1052032
20251023,-3774287
20251027,1314285
20251028,-1385801
20251029,-2607743
20251030,841098
20251031,-1144840
20251103,-2546982
20251104,2850945
20251105,1001493
20251106,-3179839
20251107,-3570316
20251110,-1580570
20251111,-1692925
20251112,-514366
20251113,-229712
20251114,-855082
20251117,-208627
20251118,-3219925
20251119,-473705
20251120,-77774
20251121,-1654089
20251124,-753613
20251125,-222708
20251126,945173
20251127,1299808
20251128,7719792
20251201,5131089
20251202,1926554
20251203,1708067
20251204,1445244
20251205,1851456
20251208,1938796
20251209,-117107
20251210,3305888
20251211,-3480648
20251212,-328698
20251215,1422990
20251216,113913
20251217,266539
20251218,-1012459
20251219,-1625159
20251222,-881585
20251223,-1336648
20251224,-1218220
20251226,-844720
20251229,80390
20251230,-491396
20251231,1032025
20260102,612498
20260105,1554401
20260106,-2007529
20260107,267719
20260108,-1153860
20260109,-1143481
20260112,-234440
20260113,3151651
20260114,800403
20260115,915217
20260116,2370125
20260119,-1368741
20260120,447168
20260121,-826731
20260122,1079035
20260123,8125521
20260126,2181214
20260127,1782293
20260128,-430264
20260129,1755955
20260130,-138760
20260202,-1829179
20260203,1941860
20260204,-310129
20260205,1448554
20260206,-3490363
20260209,4476756
20260210,-105698
20260211,374977
20260223,-4414698
20260224,1493305
20260225,3025148
20260226,1067582
20260302,-618408
20260303,-3598519
20260304,-2730293
20260305,-1564577
20260306,-1020526
20260309,-1777840
20260310,-701759
20260311,-1044686
20260312,-1013217
20260313,-3673054
20260316,-947598
20260317,-656499
20260318,-1076493
20260319,-3227117
20260320,877302
20260323,-1661101
20260324,15509
20260325,-1011324
20260326,-2504592
20260327,-239674
20260330,-1162868
20260331,-542420
20260401,-3600090
20260402,-851613
20260407,-1515547
20260408,-136302
20260409,-905793
20260410,-1717653
20260413,-85996
20260414,264253
20260415,4754962
20260416,2566173
20260417,6623923
20260420,124317
20260421,5373471
20260422,1960233
20260423,1341731
20260424,2597974
20260427,709464
20260428,2405751
20260429,-628559
20260430,1522379
20260504,-943472
20260505,2068600
20260506,4818682
20260507,-941631
20260508,-315630
20260511,-353043
20260512,-1828911
20260513,-820812
20260514,-422593
20260515,-12993
20260518,-606443
20260519,-1573215
20260520,-1714252
20260521,-830821
20260522,-33793
20260525,-2135508
20260526,768865
20260527,1718226
20260528,-1480111
20260529,-3345317
20260601,3325618
20260602,-1406832
20260603,-201119
20260604,-13785
20260605,306465
20260608,-1961638
20260609,-382425
20260610,-1730773
20260611,-1222128
