date,net
20241001,190612
20241004,-85672
20241007,-293524
20241008,-611002
20241009,-92812
20241011,-236680
20241014,-806272
20241015,-526280
20241016,-386023
20241017,-1070000
20241018,-1196622
20241021,-190621
20241022,-367530
20241023,16494
20241024,-648885
20241025,30035
20241028,-404578
20241029,-628216
20241030,-352962
20241101,-576524
20241104,-461853
20241105,-376703
20241106,-517584
20241107,365857
20241108,-809087
20241111,-1377152
20241112,-295904
20241113,249647
20241114,-1169285
20241115,-283138
20241118,-47427
20241119,925938
20241120,-136663
20241121,-110706
20241122,935792
20241125,1712973
20241126,814101
20241127,-13224
20241128,493848
20241129,-61721
20241202,-412791
20241203,-699720
20241204,321269
20241205,-433732
20241206,-332747
20241209,-308384
20241210,-127310
20241211,44967
20241212,52716
20241213,491224
20241216,-456194
20241217,1687236
20241218,2818122
20241219,386296
20241220,86936
20241223,784659
20241224,-1050000
20241225,-233999
20241226,-200025
20241227,-974763
20241230,203537
20241231,49548
20250102,-1565826
20250103,-1708000
20250106,-446960
20250107,-51283
20250108,-908413
20250109,836156
20250110,1197154
20250113,-1058657
20250114,-122766
20250115,88681
20250116,-248639
20250117,75195
20250120,196620
20250121,203517
20250122,1284350
20250203,-313161
20250204,-180291
20250205,112139
20250206,-108315
20250207,289239
20250210,-77613
20250211,-336013
20250212,-88597
20250213,386610
20250214,623743
20250217,696072
20250218,1340002
20250219,791769
20250220,790026
20250221,1430726
20250224,1197787
20250225,1031663
20250226,-964499
20250227,-1060354
20250303,-11635
20250304,163887
20250305,755337
20250306,-123575
20250307,500964
20250310,5602
20250311,94767
20250312,792644
20250313,98890
20250314,275494
20250317,-21373
20250318,592219
20250319,1838326
20250320,170401
20250321,1853000
20250324,281184
20250325,-19999
20250326,1187193
20250327,1178449
20250328,631000
20250331,-619495
20250401,1220300
20250402,107943
20250407,358000
20250408,-697380
20250409,-124088
20250410,-224845
20250411,-227491
20250414,-1747990
20250415,-235709
20250416,-273362
20250417,276850
20250418,427636
20250421,261900
20250422,551000
20250423,688500
20250424,-208000
20250425,971503
20250428,382000
20250429,3233000
20250430,1566533
20250502,697100
20250505,-68423
20250506,847994
20250507,1081965
20250508,1194229
20250509,1010994
20250512,1216937
20250513,1602145
20250514,899871
20250515,533485
20250516,-3811394
20250519,-61292
20250520,10881
20250521,-587358
20250522,-465090
20250523,-430502
20250526,-1831623
20250527,-1043890
20250528,-427736
20250529,77283
20250602,-1953708
20250603,-615281
20250604,-2832319
20250605,-652073
20250606,-974055
20250609,-1105543
20250610,-1892336
20250611,-2474656
20250612,-2655576
20250613,-1891239
20250616,-2030025
20250617,5946898
20250618,1197756
20250619,605806
20250620,-1161375
20250623,586110
20250624,680096
20250625,-189285
20250626,-1376587
20250627,-579969
20250630,-2931785
20250701,-1700036
20250702,982951
20250703,541625
20250704,-423000
20250707,-263756
20250708,-1913900
20250709,1739561
20250710,738843
20250711,-50299
20250714,395334
20250715,715668
20250716,789891
20250717,-27632
20250718,-343696
20250721,223636
20250722,-302480
20250723,337294
20250724,-2143774
20250725,-694681
20250728,-1142000
20250729,-845000
20250730,70521
20250731,386494
20250801,-1616099
20250804,-657105
20250805,-1130032
20250806,-1614380
20250807,-758111
20250808,-132287
20250811,-703220
20250812,815957
20250813,152630
20250814,-427395
20250815,37725
20250818,129078
20250819,-31603
20250820,-1331998
20250821,130069
20250822,-52357
20250825,208948
20250826,432348
20250827,89000
20250828,201661
20250829,-226450
20250901,230538
20250902,49938
20250903,301982
20250904,653000
20250905,146639
20250908,367218
20250909,-103944
20250910,-544772
20250911,-114253
20250912,-93312
20250915,-469569
20250916,-4675509
20250917,209756
20250918,1334170
20250919,139554
20250922,10869
20250923,-391945
20250924,-725968
20250925,96789
20250926,230850
20250930,-60707
20251001,31359
20251002,39000
20251003,46710
20251007,169380
20251008,45432
20251009,1159786
20251013,-645702
20251014,426023
20251015,115473
20251016,370020
20251017,890236
20251020,377537
20251021,299152
20251022,-420780
20251023,-240778
20251027,-4146420
20251028,1387968
20251029,1411663
20251030,-169325
20251031,-95485
20251103,-1417612
20251104,-679866
20251105,225742
20251106,15016
20251107,-759843
20251110,-157000
20251111,10328
20251112,143412
20251113,187331
20251114,-75343
20251117,-2937800
20251118,-1476176
20251119,-1574241
20251120,-422468
20251121,-1590402
20251124,-423124
20251125,-263468
20251126,-383676
20251127,-770935
20251128,311741
20251201,-269000
20251202,-124000
20251203,-64727
20251204,-273064
20251205,-523259
20251208,357870
20251209,-261370
20251210,295695
20251211,85137
20251212,-146454
20251215,-1000
20251216,-199770
20251217,-626130
20251218,-136468
20251219,-377500
20251222,54265
20251223,-13134
20251224,-218403
20251226,-1269135
20251229,-292000
20251230,-182000
20251231,-288053
20260102,-955566
20260105,-2687542
20260106,193049
20260107,912985
20260108,-759501
20260109,-291301
20260112,1288066
20260113,-521450
20260114,-236816
20260115,-772513
20260116,1676077
20260119,523781
20260120,2433896
20260121,-278157
20260122,782845
20260123,766468
20260126,592730
20260127,431461
20260128,444314
