date,net
20241001,74000
20241004,70167
20241007,198342
20241008,-34749
20241009,-2185049
20241011,128412
20241014,-1601954
20241015,-562658
20241016,509359
20241017,-102000
20241018,-720545
20241021,-571900
20241022,-332619
20241023,-1040780
20241024,361000
20241025,-339000
20241028,-213000
20241029,639000
20241030,101000
20241101,-424489
20241104,-1319421
20241105,-659000
20241106,1144706
20241107,-51114
20241108,457516
20241111,300980
20241112,-1538000
20241113,-429765
20241114,418253
20241115,155037
20241118,-1305924
20241119,2328097
20241120,-124881
20241121,-229542
20241122,888803
20241125,-749000
20241126,-188000
20241127,-1239182
20241128,-43900
20241129,-714000
20241202,-1111500
20241203,1873000
20241204,-1228131
20241205,1016020
20241206,-1064936
20241209,-931000
20241210,-545236
20241211,-776940
20241212,-42510
20241213,475825
20241216,-855254
20241217,1891729
20241218,-96843
20241219,-233575
20241220,-459649
20241223,119700
20241224,-515000
20241225,276050
20241226,201250
20241227,-650950
20241230,-171000
20241231,153100
20250102,-41950
20250103,-384150
20250106,686000
20250107,729000
20250108,-1542937
20250109,-79047
20250110,-1016655
20250113,359900
20250114,19000
20250115,225900
20250116,1399900
20250117,475250
20250120,-190046
20250121,1566200
20250122,99005
20250203,-537712
20250204,-265006
20250205,303842
20250206,415593
20250207,103000
20250210,-393116
20250211,238000
20250212,35925
20250213,1282008
20250214,-503144
20250217,648210
20250218,381900
20250219,37857
20250220,-523000
20250221,-131625
20250224,-216543
20250225,-1508055
20250226,-465000
20250227,-279872
20250303,-1347524
20250304,-1124180
20250305,-911480
20250306,-208000
20250307,-255780
20250310,121496
20250311,-160081
20250312,273581
20250313,-402045
20250314,34217
20250317,127100
20250318,178000
20250319,-415500
20250320,292107
20250321,184348
20250324,208044
20250325,158313
20250326,-5000
20250327,-60000
20250328,-179000
20250331,967000
20250401,66333
20250402,-162492
20250407,-29541
20250408,143607
20250409,-285274
20250410,204449
20250411,53414
20250414,-1022749
20250415,9725
20250416,-257258
20250417,-14947
20250418,-147651
20250421,291900
20250422,704000
20250423,550000
20250424,218956
20250425,-755105
20250428,-580795
20250429,75000
20250430,-436000
20250502,-386000
20250505,-326652
20250506,-246000
20250507,-49000
20250508,281000
20250509,-92943
20250512,175315
20250513,-322079
20250514,-27650
20250515,-539100
20250516,279000
20250519,-200946
20250520,-173200
20250521,-38000
20250522,1668050
20250523,-544207
20250526,-1577900
20250527,-617000
20250528,-231386
20250529,-621493
20250602,452020
20250603,-416868
20250604,64000
20250605,101950
20250606,569288
20250609,188080
20250610,-152100
20250611,1067378
20250612,877900
20250613,-213000
20250616,502990
20250617,-396898
20250618,18021
20250619,-487974
20250620,483736
20250623,1156230
20250624,354570
20250625,1988006
20250626,404926
20250627,18010
20250630,125031
20250701,-398000
20250702,353510
20250703,-4548
20250704,-174280
20250707,303822
20250708,157000
20250709,54998
20250710,-435038
20250711,-385875
20250714,-50000
20250715,-166968
20250716,-245000
20250717,91756
20250718,-18000
20250721,295249
20250722,-332000
20250723,305924
20250724,-553825
20250725,-25600
20250728,-103073
20250729,-350910
20250730,-5000
20250731,-127840
20250801,-205991
20250804,-361794
20250805,-615800
20250806,125191
20250807,-925020
20250808,-922986
20250811,-35000
20250812,-129880
20250813,78000
20250814,-163154
20250815,835000
20250818,-431016
20250819,232050
20250820,-1218000
20250821,382168
20250822,-206000
20250825,648093
20250826,174654
20250827,-32000
20250828,40900
20250829,583220
20250901,-59000
20250902,-348715
20250903,270225
20250904,-398000
20250905,1192035
20250908,1416450
20250909,-3472374
20250910,-1139025
20250911,-542945
20250912,-938600
20250915,-18975
20250916,-166000
20250917,-15000
20250918,766596
20250919,89710
20250922,2212080
20250923,4560622
20250924,386400
20250925,-760474
20250926,-984150
20250930,-135900
20251001,-192000
20251002,-638650
20251003,-393600
20251007,233100
20251008,-396800
20251009,-49000
20251013,-107612
20251014,628750
20251015,516762
20251016,1631850
20251017,-1420244
20251020,-261300
20251021,-179000
20251022,-633500
20251023,-152000
20251027,-99336
20251028,-394382
20251029,87335
20251030,-330528
20251031,187596
20251103,411500
20251104,-650000
20251105,-774228
20251106,-117750
20251107,-635970
20251110,458490
20251111,253000
20251112,28000
