date,net
20241001,6466
20241004,225589
20241007,85990
20241008,14300
20241009,43037
20241011,263978
20241014,458603
20241015,-206995
20241016,88181
20241017,-189464
20241018,-105361
20241021,461788
20241022,153929
20241023,18330
20241024,-1155
20241025,-109950
20241028,36698
20241029,-98292
20241030,118818
20241101,-71546
20241104,11185
20241105,-6855
20241106,-12812
20241107,437920
20241108,46361
20241111,108100
20241112,152870
20241113,85270
20241114,73870
20241115,392608
20241118,69564
20241119,-12706
20241120,-176587
20241121,214600
20241122,-247064
20241125,154206
20241126,-122169
20241127,-119312
20241128,159818
20241129,37398
20241202,-170934
20241203,5976
20241204,363220
20241205,504362
20241206,-68212
20241209,-102721
20241210,-163891
20241211,166888
20241212,-9838
20241213,62909
20241216,-4805
20241217,535789
20241218,-104291
20241219,-34460
20241220,-52127
20241223,-33928
20241224,-203504
20241225,131140
20241226,55718
20241227,157771
20241230,-38267
20241231,26084
20250102,-19882
20250103,418835
20250106,186596
20250107,-30148
20250108,-131180
20250109,62411
20250110,7301
20250113,27794
20250114,90789
20250115,95725
20250116,-225015
20250117,20622
20250120,19069
20250121,-182443
20250122,10128
20250203,5828
20250204,-31348
20250205,-14277
20250206,-168410
20250207,363822
20250210,-34823
20250211,7920
20250212,-30947
20250213,-180298
20250214,-70448
20250217,-35417
20250218,-34510
20250219,-14942
20250220,-110148
20250221,-71156
20250224,80912
20250225,140986
20250226,255015
20250227,-4366
20250303,130034
20250304,33599
20250305,4886
20250306,-100442
20250307,-40866
20250310,-54515
20250311,306633
20250312,139103
20250313,78687
20250314,-61321
20250317,46261
20250318,4919
20250319,-14403
20250320,16554
20250321,-17813
20250324,-25870
20250325,42010
20250326,49456
20250327,-69708
20250328,-81196
20250331,309317
20250401,-10451
20250402,274816
20250407,2125
20250408,-72031
20250409,24446
20250410,-304296
20250411,-37410
20250414,150070
20250415,36085
20250416,-4737
20250417,39054
20250418,-39081
20250421,178266
20250422,-110000
20250423,56629
20250424,-58191
20250425,-196415
20250428,-4720
20250429,-33409
20250430,-22928
20250502,-164764
20250505,-126577
20250506,-111833
20250507,54356
20250508,151579
20250509,39018
20250512,-176021
20250513,-103251
20250514,166533
20250515,132325
20250516,15139
20250519,-106697
20250520,6898
20250521,49995
20250522,-9868
20250523,10159
20250526,45966
20250527,3945
20250528,14990
20250529,148819
20250602,-67934
20250603,-3786
20250604,-14383
