date,open,high,low,close,volume
20241001,42.0,43.55,41.8,43.55,425701
20241004,45.75,47.0,45.0,45.15,1156409
20241007,45.15,45.15,43.7,43.85,319384
20241008,44.1,44.1,42.9,42.95,149312
20241009,43.0,43.15,41.9,42.0,103353
20241011,42.05,42.05,41.65,41.7,67243
20241014,41.7,42.15,41.5,41.95,75305
20241015,41.95,43.0,41.95,42.5,81351
20241016,42.5,42.6,41.75,41.95,48455
20241017,42.95,45.95,42.95,44.1,509969
20241018,44.2,45.25,43.4,43.4,141154
20241021,43.35,43.5,43.0,43.0,153581
20241022,43.8,43.8,43.0,43.0,54038
20241023,43.15,43.5,43.15,43.15,42031
20241024,43.45,45.8,43.45,43.95,395126
20241025,46.2,47.8,44.6,44.6,995229
20241028,44.6,45.15,44.0,44.2,140400
20241029,44.0,44.3,43.15,43.5,130243
20241030,43.5,44.1,43.5,43.8,56793
20241101,43.8,44.35,43.1,44.35,63973
20241104,44.5,44.55,43.5,43.65,73907
20241105,43.8,44.5,43.8,44.0,92680
20241106,45.1,45.1,44.35,44.4,79137
20241107,44.65,46.2,44.65,45.1,208032
20241108,46.6,46.7,45.0,45.0,320862
20241111,45.5,45.5,44.4,45.0,64053
20241112,45.0,45.05,43.8,43.8,102799
20241113,43.8,45.0,43.8,44.2,87107
20241114,45.45,45.45,43.1,43.3,95503
20241115,43.3,43.85,43.0,43.0,51776
20241118,42.05,42.85,42.0,42.05,50851
20241119,42.15,42.85,42.1,42.25,38991
20241120,43.2,44.25,42.55,42.9,111267
20241121,43.8,43.8,42.9,43.15,33339
20241122,43.75,43.75,43.05,43.25,50084
20241125,43.0,44.0,43.0,43.45,61110
20241126,43.85,43.85,43.05,43.05,49478
20241127,43.0,43.0,40.95,40.95,171156
20241128,40.95,42.4,40.95,41.8,93858
20241129,42.65,42.95,41.7,42.05,29125
20241202,42.05,42.05,41.55,41.55,43879
20241203,41.8,42.4,41.75,42.15,36471
20241204,42.15,42.3,42.1,42.1,38917
20241205,42.5,42.75,41.3,41.4,64095
20241206,41.4,42.0,41.4,41.7,16557
20241209,42.8,43.9,41.6,41.65,75831
20241210,40.85,41.3,40.6,40.8,82097
20241211,40.2,40.8,40.0,40.2,57247
20241212,40.55,41.0,40.5,40.6,46569
20241213,40.2,40.3,38.85,39.5,82182
20241216,39.25,39.55,38.5,38.6,101808
20241217,38.6,39.55,38.2,39.55,74168
20241218,39.5,39.5,38.5,38.9,58183
20241219,38.0,39.8,37.2,38.25,127756
20241220,37.85,38.5,37.85,38.0,67013
20241223,38.0,38.8,38.0,38.75,23521
20241224,39.3,39.3,38.55,38.65,34891
20241225,38.8,39.3,38.05,39.05,51533
20241226,39.95,40.1,38.9,39.7,101350
20241227,39.0,39.85,38.5,39.15,47157
20241230,39.1,40.1,38.25,39.3,88095
20241231,38.75,40.6,38.75,39.4,118505
20250102,39.05,39.7,38.85,39.3,60278
20250103,39.3,40.0,39.1,39.15,65582
20250106,38.7,39.4,38.7,38.8,49467
20250107,39.4,40.2,39.35,40.2,122942
20250108,42.95,43.95,41.2,41.75,818646
20250109,42.6,42.6,39.6,39.9,249329
20250110,40.0,40.1,38.7,39.6,120685
20250113,39.6,39.6,38.0,38.2,118879
20250114,39.45,41.6,39.4,40.05,427937
20250115,41.15,41.15,39.05,39.05,89360
20250116,39.2,39.85,39.1,39.15,27518
20250117,39.2,39.2,38.8,38.95,52466
20250120,39.0,39.05,38.9,38.9,28574
20250121,38.95,38.95,38.9,38.9,38341
20250122,39.1,39.45,39.0,39.3,46504
20250203,39.3,39.35,38.55,38.7,75584
20250204,38.85,38.85,38.5,38.5,40192
20250205,39.2,39.2,38.55,38.95,39244
20250206,39.2,39.2,38.8,39.0,44449
20250207,39.05,39.4,39.05,39.25,66861
20250210,38.8,39.0,38.8,39.0,42039
20250211,38.95,39.2,38.9,39.0,48292
20250212,39.15,39.3,38.8,39.15,57507
20250213,38.85,39.3,38.85,39.25,45799
20250214,39.3,39.6,39.25,39.5,117775
20250217,39.55,40.0,39.55,40.0,69795
20250218,40.05,41.3,40.0,41.25,126251
20250219,41.45,41.45,40.7,40.75,69863
20250220,40.65,40.65,40.2,40.3,63789
20250221,40.5,40.7,40.05,40.7,70554
20250224,40.7,41.0,40.45,40.9,81545
20250225,40.9,40.9,40.2,40.5,29600
20250226,40.35,40.5,40.25,40.5,9364
20250227,40.7,41.0,40.35,40.8,34626
20250303,40.7,40.7,40.1,40.3,38374
20250304,39.6,39.8,38.3,39.8,33467
20250305,39.8,39.8,39.15,39.75,29768
20250306,39.75,40.0,39.25,39.55,26927
20250307,39.15,39.3,38.95,38.95,55033
20250310,39.0,39.05,38.95,39.0,29674
20250311,38.5,39.3,37.75,39.0,41138
20250312,38.55,39.5,38.5,39.2,45327
20250313,39.0,39.1,38.4,38.7,53250
20250314,38.3,39.2,38.3,38.5,59892
20250317,38.65,38.85,38.2,38.2,83500
20250318,38.5,38.8,38.2,38.2,36595
20250319,38.55,38.8,38.35,38.35,46953
20250320,38.55,39.35,38.3,39.0,62261
20250321,39.0,39.2,38.65,38.7,30291
20250324,38.4,38.5,38.3,38.3,24736
20250325,38.3,39.1,38.2,38.3,57561
20250326,39.0,39.0,38.5,38.55,35681
20250327,38.3,38.7,38.3,38.45,24773
20250328,38.65,38.65,37.0,37.35,106760
20250331,36.9,38.0,35.35,35.35,157220
20250401,35.35,35.5,35.0,35.0,148692
20250402,35.15,35.15,34.65,35.05,52869
20250407,31.55,31.55,31.55,31.55,13297
20250408,28.4,28.4,28.4,28.4,103850
20250409,25.6,27.0,25.6,25.6,222341
20250410,27.45,28.15,26.8,28.15,323491
20250411,25.55,27.45,25.5,26.75,205786
20250414,26.8,28.2,26.8,27.7,109581
20250415,28.2,29.9,28.2,29.8,194714
20250416,29.8,31.8,29.8,29.85,237440
20250417,29.05,29.95,29.05,29.6,43879
20250418,29.25,29.6,29.0,29.3,18124
20250421,28.5,29.1,28.2,28.3,48346
20250422,28.3,28.7,28.0,28.0,47444
20250423,28.6,28.6,28.45,28.5,26504
20250424,28.9,29.45,28.55,29.0,41625
20250425,28.85,29.6,28.85,29.15,47218
20250428,28.4,29.3,28.4,29.3,34984
20250429,29.25,29.7,29.2,29.6,40304
20250430,31.5,32.55,31.5,32.55,183490
20250502,34.45,35.75,32.55,32.55,706376
20250505,32.25,32.35,30.05,30.55,190875
20250506,30.7,31.1,30.7,31.0,45504
20250507,31.0,31.0,30.35,30.9,47827
20250508,30.9,30.9,30.4,30.65,70013
20250509,32.3,32.3,30.55,30.7,67417
20250512,31.5,31.5,30.7,30.75,47514
20250513,31.85,31.85,30.7,30.7,78395
20250514,30.7,31.05,30.15,30.45,136376
20250515,31.2,31.45,30.5,30.95,130755
20250516,31.75,31.75,30.8,31.1,85086
20250519,31.6,31.6,30.2,30.2,40231
20250520,30.0,30.15,29.7,30.0,40595
20250521,30.0,30.5,29.9,30.1,59268
20250522,30.2,30.2,29.65,29.65,43782
20250523,30.05,30.5,29.45,29.45,57299
20250526,29.45,29.5,29.0,29.1,48046
20250527,29.8,29.8,29.05,29.05,49436
20250528,29.15,29.2,28.8,28.8,37282
20250529,29.5,29.5,28.6,28.9,25778
20250602,28.45,28.85,28.0,28.05,39537
20250603,28.05,28.05,27.8,27.95,151257
20250604,28.0,28.15,27.7,27.85,188211
20250605,28.4,28.5,28.0,28.0,49045
20250606,28.4,28.4,28.05,28.05,27203
20250609,28.05,28.05,27.4,27.45,37358
20250610,28.45,30.15,28.45,30.15,467250
20250611,31.85,31.85,29.65,30.2,628942
20250612,30.15,30.15,29.35,29.9,114121
20250613,30.0,30.0,29.5,29.7,61110
20250616,29.7,30.4,29.2,29.8,98013
20250617,29.8,30.0,29.25,29.45,104680
20250618,29.45,29.85,29.45,29.6,35201
20250619,29.45,29.75,29.2,29.45,40560
20250620,29.2,29.2,28.1,28.7,77410
20250623,28.5,28.6,28.05,28.3,37660
20250624,29.0,29.4,28.8,29.0,52245
20250625,29.0,29.25,28.9,29.05,31849
20250626,29.7,30.5,29.5,30.1,110683
20250627,31.1,31.1,29.3,29.75,82895
20250630,30.4,30.4,29.25,29.4,32348
20250701,29.8,30.45,29.55,29.95,96464
20250702,29.95,29.95,29.7,29.7,31653
20250703,29.6,30.1,29.6,30.0,21734
20250704,29.8,29.8,29.4,29.55,35337
20250707,29.25,29.85,29.25,29.6,21177
20250708,29.85,29.85,29.2,29.45,27414
20250709,29.85,31.7,29.75,29.75,274459
20250710,30.2,30.35,29.3,29.5,80733
20250711,29.95,30.3,29.75,30.0,70768
20250714,30.45,30.45,29.8,29.8,42737
20250715,29.85,29.95,29.45,29.45,49189
20250716,29.4,30.0,29.4,29.7,42294
20250717,30.0,30.45,30.0,30.0,66823
20250718,30.8,30.8,29.95,29.95,59644
20250721,29.8,30.7,29.8,29.8,40302
20250722,29.8,29.9,29.5,29.75,43954
20250723,29.75,30.2,29.75,30.0,24918
20250724,30.0,30.45,29.85,30.1,80287
20250725,30.25,30.4,30.05,30.15,45687
20250728,30.0,30.3,29.8,30.15,71136
20250729,30.0,30.0,29.6,29.7,26068
20250730,29.6,30.0,29.6,30.0,38044
20250731,30.2,30.2,29.7,29.7,28203
20250801,29.9,29.9,29.15,29.7,63680
20250804,29.2,29.65,29.1,29.5,27013
20250805,29.8,30.15,29.65,29.9,42421
20250806,30.2,30.2,29.95,30.0,87116
20250807,30.75,30.75,30.2,30.4,59441
20250808,30.6,31.05,30.55,30.75,110435
20250811,31.0,31.0,30.5,30.65,62234
20250812,30.55,30.75,30.5,30.6,37467
20250813,30.6,30.95,30.25,30.25,70701
20250814,30.25,30.25,29.7,29.75,56299
20250815,29.65,29.65,29.1,29.65,70715
20250818,29.65,29.9,29.3,29.7,41361
20250819,29.7,30.4,29.6,29.6,56431
20250820,29.65,30.6,29.6,30.1,210976
20250821,30.2,30.5,30.0,30.0,59318
20250822,30.0,30.0,29.8,29.9,27610
20250825,29.85,30.0,29.7,29.7,59085
20250826,29.65,30.2,29.65,30.15,39388
20250827,30.15,30.6,29.8,30.0,73044
20250828,30.1,30.4,30.0,30.0,74213
20250829,29.95,30.0,29.9,29.95,31540
20250901,29.95,30.0,29.2,29.45,66408
20250902,29.45,30.4,29.45,30.05,129240
20250903,30.1,30.4,30.0,30.15,79676
20250904,30.5,30.8,30.35,30.7,204779
20250905,30.7,33.75,30.7,32.85,1187806
20250908,32.9,32.9,32.0,32.05,363488
20250909,33.5,35.0,33.1,33.8,1141891
20250910,33.65,34.3,32.5,34.3,395962
20250911,35.7,35.8,33.05,33.4,563913
20250912,34.2,34.2,33.1,33.75,262013
20250915,33.75,34.0,33.3,33.3,134545
20250916,33.1,33.65,33.1,33.4,90274
20250917,34.0,34.05,32.9,32.9,137057
20250918,33.0,33.3,32.7,33.15,90290
20250919,33.2,33.35,32.45,33.15,105988
20250922,32.95,32.95,32.3,32.3,140599
20250923,32.3,32.75,32.0,32.15,93214
20250924,32.15,32.15,31.55,31.65,109477
20250925,31.8,32.4,31.75,32.0,56602
20250926,32.15,32.15,31.0,31.05,102245
20250930,31.1,32.05,31.1,31.85,56225
20251001,32.35,32.6,31.85,31.9,60901
