date,open,high,low,close,volume
20241001,29.2,29.8,27.15,28.45,9459743
20241004,27.9,28.7,27.3,27.75,3156496
20241007,27.8,29.5,27.35,28.85,5816643
20241008,28.85,31.5,28.35,29.7,11817991
20241009,29.9,30.5,27.65,27.95,5423156
20241011,25.2,25.8,25.2,25.2,2261305
20241014,23.6,24.0,22.85,23.3,3781963
20241015,23.75,23.95,22.8,22.8,2304315
20241016,23.0,23.3,22.7,23.0,1038294
20241017,23.2,23.9,23.05,23.45,905535
20241018,23.9,23.9,23.15,23.3,722326
20241021,23.2,23.55,22.5,23.35,1301889
20241022,23.8,23.8,22.95,23.0,867298
20241023,23.25,23.3,22.85,22.95,688175
20241024,23.0,23.0,22.3,22.5,1008010
20241025,22.55,22.75,21.85,22.1,1012174
20241028,22.2,22.25,21.55,21.65,892350
20241029,21.65,21.65,20.65,20.7,1413864
20241030,20.75,20.9,19.7,20.15,1809180
20241101,20.35,20.4,19.95,20.3,600567
20241104,20.3,21.5,20.0,20.5,1010762
20241105,20.5,22.3,20.5,21.7,1620291
20241106,22.0,22.5,21.6,21.6,1435067
20241107,21.6,22.3,21.35,21.6,874422
20241108,21.75,21.85,21.3,21.6,736725
20241111,21.7,21.7,20.0,20.5,1124161
20241112,20.4,20.4,20.0,20.25,425395
20241113,20.05,20.2,19.35,19.35,924636
20241114,19.5,20.05,19.4,19.45,679003
20241115,19.5,20.2,19.5,19.6,342110
20241118,19.35,19.4,19.1,19.25,412835
20241119,19.3,19.55,19.3,19.4,180453
20241120,20.0,20.0,19.0,19.05,365304
20241121,19.05,19.25,18.8,18.9,394152
20241122,18.95,19.35,18.95,19.2,526710
20241125,19.25,19.7,19.25,19.35,193725
20241126,19.25,19.65,19.2,19.2,155823
20241127,19.4,19.4,18.7,18.9,432109
20241128,18.85,18.85,18.0,18.5,477644
20241129,18.45,18.75,18.35,18.75,108496
20241202,18.6,18.65,18.2,18.2,369844
20241203,18.3,18.75,18.25,18.3,246297
20241204,18.3,18.6,18.3,18.55,162480
20241205,18.7,18.7,18.25,18.25,270774
20241206,18.3,18.55,18.25,18.3,144521
20241209,18.3,18.3,17.9,18.0,351910
20241210,17.75,18.1,17.45,17.5,665180
20241211,17.5,17.6,17.25,17.3,310815
20241212,17.4,18.3,17.3,17.5,462888
20241213,17.5,17.5,16.7,16.8,732262
20241216,17.1,17.1,16.55,16.55,344626
20241217,16.65,16.9,16.55,16.6,192666
20241218,16.75,16.8,16.4,16.6,294660
20241219,16.4,16.6,16.3,16.35,306130
20241220,17.0,17.95,16.65,17.95,739589
20241223,18.6,19.25,17.15,17.5,3235386
20241224,17.6,17.95,16.9,17.15,862752
20241225,17.15,17.55,17.1,17.25,393178
20241226,17.35,17.8,17.15,17.2,441386
20241227,17.35,17.45,17.05,17.1,337370
20241230,17.05,17.35,17.05,17.2,205007
20241231,17.15,17.15,16.8,16.9,183231
20250102,16.85,17.0,16.7,17.0,190963
20250103,17.0,17.0,16.4,16.4,346227
20250106,16.35,16.6,16.3,16.35,225503
20250107,16.6,16.6,16.15,16.2,273347
