date,net
20241001,545262
20241004,-857123
20241007,744526
20241008,-434096
20241009,-494321
20241011,390135
20241014,-111636
20241015,1242061
20241016,-662122
20241017,-89436
20241018,817839
20241021,529932
20241022,846160
20241023,-889746
20241024,-51527
20241025,116528
20241028,265960
20241029,-660739
20241030,-608216
20241101,-186711
20241104,581175
20241105,83923
20241106,288822
20241107,109175
20241108,473466
20241111,117420
20241112,560849
20241113,40044
20241114,1703992
20241115,-2100823
20241118,1232404
20241119,1571800
20241120,349738
20241121,17748
20241122,-19024
20241125,-720235
20241126,2453839
20241127,-1263151
20241128,-1119320
20241129,-1022754
20241202,-566548
20241203,-1578789
20241204,-351321
20241205,-373982
20241206,-1045606
20241209,746349
20241210,-386210
20241211,-363197
20241212,253173
20241213,465244
20241216,-1169618
20241217,-638645
20241218,286256
20241219,-1171655
20241220,-24891
20241223,1513510
20241224,148811
20241225,176698
20241226,411792
20241227,454809
20241230,-377560
20241231,-245459
20250102,-644548
20250103,2220200
20250106,283070
20250107,1697443
20250108,-108982
20250109,549393
20250110,-618704
20250113,-553498
20250114,-472904
20250115,-2154270
20250116,-579792
20250117,-634651
20250120,-218563
20250121,-1543460
20250122,-269821
20250203,3891692
20250204,-306683
20250205,696518
20250206,104975
20250207,1168080
20250210,-152535
20250211,56207
20250212,23066
20250213,86194
20250214,-284359
20250217,335048
20250218,1250381
20250219,-947755
20250220,991293
20250221,458653
20250224,-274244
20250225,524302
20250226,-132651
20250227,-1985893
20250303,-228725
20250304,10085
20250305,-265324
20250306,-532651
20250307,-1163066
20250310,-911104
20250311,-293138
20250312,-9095558
20250313,-39048
20250314,-1019776
20250317,608126
20250318,1232246
20250319,-624970
20250320,100118
20250321,84055
20250324,-928637
20250325,-1681965
20250326,-384683
20250327,-343157
20250328,518658
20250331,-499153
20250401,-568541
20250402,-1398216
20250407,370961
20250408,-946177
20250409,-1350442
20250410,-1330534
20250411,-771072
20250414,-1513533
20250415,-10727
20250416,-644728
20250417,-858872
20250418,-1198407
20250421,-643165
20250422,218705
20250423,23982
20250424,-199260
20250425,415211
20250428,-463911
20250429,228703
20250430,-261815
20250502,142446
20250505,1247524
20250506,-54694
20250507,420906
20250508,-174954
20250509,323226
20250512,232245
20250513,-383968
20250514,-484676
20250515,312817
20250516,-550994
20250519,-149106
20250520,412766
20250521,-246080
20250522,564073
20250523,-124364
20250526,325562
20250527,-514844
20250528,1369522
20250529,242636
20250602,-379703
20250603,761808
20250604,47970
20250605,66145
20250606,219388
20250609,-295860
20250610,633604
20250611,936278
20250612,-34940
20250613,381411
20250616,-128480
20250617,54277
20250618,191354
20250619,549629
20250620,71223
20250623,313291
20250624,2212419
20250625,-3894764
20250626,4100714
20250627,1622046
20250630,2516288
20250701,1800301
20250702,684831
20250703,-5427941
20250704,-1811718
20250707,610018
20250708,620843
20250709,630843
20250710,603214
20250711,855038
20250714,1126273
20250715,1192605
20250716,128412
20250717,1379203
20250718,82727
20250721,1475836
20250722,-1257678
20250723,1136843
20250724,987142
20250725,1879002
20250728,794124
20250729,189532
20250730,643102
20250731,622672
20250801,553005
20250804,635162
20250805,605695
20250806,-280386
20250807,86583
20250808,101868
20250811,-513090
20250812,-112785
20250813,-1198134
20250814,-2943817
20250815,-1790519
20250818,-771949
20250819,-808878
20250820,-1975061
20250821,-926237
20250822,-1128850
20250825,-188232
20250826,-508896
20250827,-902454
20250828,-634017
20250829,-737700
20250901,-781735
20250902,-238653
20250903,-11900
20250904,272468
20250905,369834
20250908,253369
20250909,1754086
20250910,455894
20250911,2039932
20250912,1606907
20250915,266178
20250916,271642
20250917,1098
20250918,-153050
20250919,-281603
20250922,343185
20250923,198419
20250924,-302384
20250925,353742
20250926,26579
20250930,-922823
20251001,212263
20251002,132000
20251003,-144745
20251007,510255
20251008,195165
20251009,-1284196
20251013,1106444
20251014,339462
20251015,-904516
20251016,-438847
20251017,129414
20251020,-110256
20251021,292174
20251022,382539
20251023,219369
20251027,1110020
20251028,200423
20251029,358669
20251030,490070
20251031,-227431
20251103,41392
20251104,-377472
20251105,-255569
20251106,935054
20251107,-1657570
20251110,-441031
20251111,-701194
20251112,-1869647
20251113,-2547857
20251114,-646226
20251117,-2613479
20251118,-4098644
20251119,-882950
20251120,-663488
20251121,17327
20251124,-244157
20251125,-304618
20251126,28397
20251127,-291142
20251128,-722730
20251201,255072
20251202,-201469
20251203,294805
20251204,-735555
20251205,-284092
20251208,-449905
20251209,-802694
20251210,-496603
20251211,-537146
20251212,-448046
20251215,78614
20251216,-262815
20251217,-1359240
20251218,-2986514
20251219,-2000306
20251222,-1290840
20251223,-1512308
20251224,-325730
20251226,-350003
20251229,-1445859
20251230,-1122762
20251231,262656
20260102,-438779
20260105,-1903159
20260106,-1657812
20260107,-1453869
20260108,-3478301
20260109,-2356947
20260112,-723391
20260113,-5813148
20260114,-445237
20260115,-1694281
20260116,-3554780
20260119,-761854
20260120,-1876455
20260121,-2008153
20260122,271180
20260123,-667774
20260126,-1570753
20260127,-591027
20260128,-288626
20260129,140693
20260130,-2022631
20260202,-626382
20260203,71953
20260204,-153984
20260205,149852
20260206,490044
20260209,-1295043
20260210,998911
20260211,-562529
20260223,-1509411
20260224,-274846
20260225,220266
20260226,-314522
20260302,-513551
20260303,-1356644
20260304,-1361009
20260305,656360
20260306,551561
20260309,338778
20260310,341463
20260311,2371463
20260312,-710562
20260313,-1319322
20260316,40516
20260317,707396
20260318,95845
20260319,-175578
20260320,66538
20260323,-104726
20260324,-117942
20260325,-1007811
20260326,1058218
20260327,244845
20260330,-421533
20260331,-162786
20260401,105288
20260402,-835064
20260407,-683176
20260408,334363
20260409,-89953
20260410,-459039
20260413,-243676
20260414,-778456
20260415,-896936
20260416,-638959
20260417,1174146
20260420,-143741
20260421,-1414346
20260422,568494
20260423,-1325232
20260424,-2257320
20260427,107539
20260428,-1134956
20260429,-791170
20260430,-1357467
20260504,-307946
20260505,-539118
20260506,2429053
20260507,-121232
20260508,2223055
20260511,2995141
20260512,-202533
20260513,1204643
20260514,1063578
20260515,-1161805
20260518,-5616
20260519,452229
20260520,-502171
20260521,-145745
20260522,2287558
20260525,2539349
20260526,-57593
20260527,949328
20260528,-362800
20260529,6576944
20260601,1246463
20260602,4738282
20260603,3207230
20260604,680092
20260605,-935075
20260608,428832
20260609,-755143
20260610,-437839
20260611,104783
