date,net
20241001,-2454350
20241004,-558028
20241007,115200
20241008,-737135
20241009,-212747
20241011,-359931
20241014,333354
20241015,-265455
20241016,-1396127
20241017,1382816
20241018,-873160
20241021,776982
20241022,-295559
20241023,-701527
20241024,-693345
20241025,362419
20241028,-1078732
20241029,-1670863
20241030,-1009426
20241101,-87881
20241104,-587295
20241105,-197100
20241106,155000
20241107,72907
20241108,-438644
20241111,-617450
20241112,-434060
20241113,-109712
20241114,-480946
20241115,608720
20241118,-835862
20241119,-413593
20241120,-494229
20241121,-381114
20241122,112541
20241125,110365
20241126,-62728
20241127,-536264
20241128,-685380
20241129,-118915
20241202,125661
20241203,-883739
20241204,-1102628
20241205,-302300
20241206,-141028
20241209,-1172307
20241210,45033
20241211,-961841
20241212,338154
20241213,660538
20241216,-1004491
20241217,1281699
20241218,572459
20241219,-879022
20241220,-193258
20241223,-297069
20241224,-427619
20241225,188358
20241226,-388644
20241227,-380540
20241230,-1227052
20241231,-455870
20250102,-1168766
20250103,466041
20250106,63780
20250107,-41906
20250108,181707
20250109,-812112
20250110,-275461
20250113,-280944
20250114,334192
20250115,-120400
20250116,39235
20250117,-236327
20250120,-49424
20250121,-306103
20250122,-3429071
20250203,-2708575
20250204,-738932
20250205,-1250091
20250206,-1221707
20250207,-1089429
20250210,-423039
20250211,-1414788
20250212,-1320239
20250213,507424
20250214,-743446
20250217,785810
20250218,-1025881
20250219,-719208
20250220,-1109300
20250221,-572134
20250224,-251405
20250225,202627
20250226,-1003369
20250227,-388366
20250303,-566097
20250304,132291
20250305,-349000
20250306,-1277871
20250307,-226111
20250310,-890182
20250311,-767326
20250312,-487895
20250313,-1246574
20250314,-424610
20250317,1495089
20250318,-5526017
20250319,-1588673
20250320,1378227
20250321,-2855202
20250324,-371804
20250325,-368000
20250326,-947593
20250327,-1113076
20250328,-1127000
20250331,-1694125
20250401,218793
20250402,298440
20250407,34000
20250408,-1526215
20250409,-383406
20250410,-391631
20250411,-76824
20250414,-657967
20250415,55615
20250416,-1126520
20250417,75024
20250418,-1791669
20250421,400644
20250422,-144098
20250423,1039165
20250424,-1787105
20250425,-2896164
20250428,1026130
20250429,-1347385
20250430,-3800993
20250502,-151181
20250505,-900060
20250506,-373144
20250507,-586634
20250508,210306
20250509,6928
20250512,85400
20250513,-597968
20250514,-649081
20250515,-691927
20250516,-937122
20250519,-2548995
20250520,-1262032
20250521,693388
20250522,-1281222
20250523,-992209
20250526,-1410245
20250527,-774103
20250528,-1016446
20250529,-459125
20250602,-2371474
20250603,340278
20250604,220525
20250605,1095031
20250606,256233
20250609,250426
20250610,651718
20250611,925330
20250612,2534740
20250613,681161
20250616,407446
20250617,392727
20250618,302968
20250619,-1027328
20250620,-60427
20250623,196668
20250624,58225
20250625,-621918
20250626,-494822
20250627,267138
20250630,390868
20250701,-1485088
20250702,449977
20250703,1384097
20250704,-1148872
20250707,-495604
20250708,-1649287
20250709,95903
20250710,-478381
20250711,-523107
20250714,-675134
20250715,-676730
20250716,-498024
20250717,-1438365
20250718,-1390947
20250721,-409059
20250722,-1297867
20250723,230159
20250724,-1447880
20250725,-1044451
20250728,-122075
20250729,-1732568
20250730,-514815
20250731,1558473
20250801,1524677
20250804,1333027
20250805,-571630
20250806,-1368878
20250807,213506
20250808,-354333
20250811,-568648
20250812,-13884
20250813,-245290
20250814,-302118
20250815,-602826
20250818,113144
20250819,167020
20250820,353289
20250821,851738
20250822,264250
20250825,325657
20250826,-185202
20250827,163705
20250828,-651305
20250829,-482088
20250901,111992
20250902,-743603
20250903,-424246
20250904,-442601
20250905,57149
20250908,172902
20250909,-1515088
20250910,83600
20250911,1531933
20250912,3286583
20250915,633740
20250916,4965507
20250917,3624359
20250918,-2253878
20250919,-107524
20250922,2261008
20250923,323839
20250924,3296242
20250925,762056
20250926,492209
20250930,-249324
20251001,-612573
20251002,1129817
20251003,732980
20251007,-533460
20251008,-785107
20251009,-555555
20251013,803949
20251014,1192837
20251015,-694763
20251016,-264128
20251017,518753
20251020,339612
20251021,-693161
20251022,584654
20251023,587254
20251027,1170545
20251028,-3087265
20251029,3502622
20251030,2068966
20251031,-2632087
20251103,78282
20251104,712300
20251105,4318569
20251106,1487805
20251107,-326736
20251110,-985950
20251111,-2443061
20251112,486412
20251113,-2549732
20251114,1636198
20251117,1436748
20251118,3710145
20251119,2139456
20251120,3788921
20251121,38015
20251124,-1046951
20251125,-370379
20251126,-507000
20251127,-366400
20251128,-859892
20251201,-1692612
20251202,134622
20251203,-935326
20251204,-1310013
20251205,1567877
20251208,-413971
20251209,-52478
20251210,-806638
20251211,664641
20251212,-790989
20251215,-206850
20251216,50490
20251217,2674300
20251218,-751000
20251219,-2046778
20251222,3819587
20251223,-7396153
20251224,-699262
20251226,-302471
20251229,-1411704
20251230,652987
20251231,-675328
20260102,4391761
20260105,-2491817
20260106,4617708
20260107,-816894
20260108,3713856
20260109,4460151
20260112,435243
20260113,6350884
20260114,2876299
20260115,2303439
20260116,-718393
20260119,-1653362
20260120,858456
20260121,6681128
20260122,1839585
20260123,1185657
20260126,-591485
20260127,-1497450
20260128,-7032962
20260129,3258529
20260130,1750101
20260202,2135765
20260203,2487112
20260204,-2059926
20260205,-755139
20260206,-2001509
20260209,1476179
20260210,-452946
20260211,378431
20260223,-636414
20260224,1560137
20260225,-1471985
20260226,863195
20260302,-359899
20260303,-2535221
20260304,4389509
20260305,1059534
20260306,-524307
20260309,863210
20260310,7662
20260311,-2122360
20260312,-1872505
20260313,-2676659
20260316,-582071
20260317,-2997660
20260318,-4752960
20260319,-3456676
20260320,-1636889
20260323,506673
20260324,-509475
20260325,1303051
20260326,-1844548
20260327,235495
20260330,-781387
20260331,-771798
20260401,-1655522
20260402,-2762822
20260407,-5459567
20260408,1491411
20260409,-794033
20260410,-1286425
20260413,-2711551
20260414,-14242361
20260415,-3435822
20260416,-1985651
20260417,-3069905
20260420,-2184345
20260421,380114
20260422,-2820721
20260423,-6781267
20260424,-303168
20260427,-179848
20260428,-811851
20260429,-16336539
20260430,1070637
20260504,7444807
20260505,-6883556
20260506,2852408
20260507,-5793206
20260508,-3301076
20260511,-2779720
20260512,-1924884
20260513,-247721
20260514,-773766
20260515,15524647
20260518,-2640302
20260519,-8025198
20260520,3307263
20260521,3199729
20260522,-2606633
20260525,-1516010
20260526,623763
20260527,2661494
20260528,8514488
20260529,-1921818
20260601,-1066797
20260602,-4095631
20260603,-3631781
20260604,-2513996
20260605,-1951447
20260608,-555189
20260609,-1209110
20260610,-870159
20260611,-1249920
