date,net
20241001,-269000
20241004,-1224000
20241007,-628239
20241008,-740000
20241009,-742000
20241011,-118000
20241014,-206000
20241015,-652000
20241016,-439000
20241017,1116000
20241018,-629000
20241021,316000
20241022,-346000
20241023,-1788154
20241024,-1880000
20241025,-1795808
20241028,-2003000
20241029,-1165000
20241030,-1162468
20241101,919130
20241104,-621286
20241105,-302000
20241106,663000
20241107,-377128
20241108,-1019034
20241111,-223469
20241112,-884745
20241113,218603
20241114,-793050
20241115,166000
20241118,-218179
20241119,-336355
20241120,-568820
20241121,-911000
20241122,-36242
20241125,94520
20241126,-792425
20241127,-1441168
20241128,-1012109
20241129,-1256454
20241202,-932134
20241203,2060
20241204,-256879
20241205,-85516
20241206,-811439
20241209,-12058
20241210,-302765
20241211,-153840
20241212,-784739
20241213,-740310
20241216,-2518572
20241217,624351
20241218,1677000
20241219,639530
20241220,-1735292
20241223,-16650
20241224,-557000
20241225,-678530
20241226,2619000
20241227,-2673743
20241230,-2173962
20241231,-1895326
20250102,1915128
20250103,-2857081
20250106,564825
20250107,-286731
20250108,952467
20250109,-2009786
20250110,4992897
20250113,-5235240
20250114,1493012
20250115,-2744000
20250116,981010
20250117,-197249
20250120,701153
20250121,645857
20250122,6277538
20250203,324608
20250204,-2638861
20250205,2176254
20250206,5136389
20250207,-6996
20250210,-228402
20250211,165565
20250212,1717829
20250213,1300680
20250214,2920386
20250217,-4742843
20250218,4169315
20250219,1406548
20250220,313564
20250221,2421446
20250224,-40315
20250225,-1741756
20250226,2803741
20250227,1007328
20250303,938150
20250304,4794263
20250305,921315
20250306,-3228211
20250307,1656840
20250310,1439789
20250311,3245679
20250312,723578
20250313,1099263
20250314,-1415602
20250317,355521
20250318,1041781
20250319,-1601632
20250320,1925986
20250321,333000
20250324,312456
20250325,-293000
20250326,-132744
20250327,-153490
20250328,1007000
20250331,3556224
20250401,-879100
20250402,1293000
20250407,111000
20250408,669000
20250409,4969130
20250410,64000
20250411,698000
20250414,-1676045
20250415,-714246
20250416,-881000
20250417,-158000
20250418,-1142000
20250421,-92000
20250422,-203000
20250423,111000
20250424,2038000
20250425,-1863620
20250428,-1086000
20250429,1134000
20250430,-91737
20250502,-161000
20250505,-164000
20250506,1103600
20250507,-216880
20250508,273322
20250509,1140000
20250512,4919000
20250513,16744
20250514,1695102
20250515,-2924796
20250516,471307
20250519,33299
20250520,-829000
20250521,-1606000
20250522,-1037537
20250523,1926116
20250526,294116
20250527,-1457000
20250528,-27015
20250529,1814089
20250602,-885290
20250603,-1009000
20250604,156233
20250605,416700
20250606,431991
20250609,964348
20250610,5097716
20250611,933132
20250612,947342
20250613,1416239
20250616,307000
20250617,424975
20250618,-10397
20250619,-3753759
20250620,-2903204
20250623,-406720
20250624,10473167
20250625,4038532
20250626,-11758
20250627,-628715
20250630,-1069601
20250701,-543099
20250702,2662993
20250703,2543137
20250704,1446000
20250707,3094350
20250708,1441000
20250709,3752153
20250710,197366
20250711,706490
20250714,1666000
20250715,103569
20250716,-950654
20250717,1479998
20250718,709000
20250721,1128000
20250722,-547971
20250723,-339446
20250724,-3058726
20250725,-1555632
20250728,-1970190
20250729,-2026800
20250730,-100954
20250731,-191945
20250801,-245000
20250804,-1348000
20250805,-3644344
20250806,-7091850
20250807,-1514248
20250808,426975
20250811,-684900
20250812,376167
20250813,606460
20250814,638555
20250815,-433800
20250818,981621
20250819,-726925
20250820,-2954717
20250821,167116
20250822,-383000
20250825,-609938
20250826,-340974
20250827,1202380
20250828,406967
20250829,2232525
20250901,2364385
20250902,1075300
20250903,2402800
20250904,1034500
20250905,8859360
20250908,4854910
20250909,6427919
20250910,2434200
20250911,4888740
20250912,608198
20250915,140340
20250916,-1004900
20250917,639545
20250918,517513
20250919,235250
20250922,-187013
20250923,291849
20250924,-688800
20250925,1190435
20250926,1580000
20250930,-995106
20251001,-1436000
20251002,-4459000
20251003,612990
20251007,366883
20251008,-370000
20251009,463492
20251013,-771007
20251014,-180725
20251015,531369
20251016,691861
20251017,-311990
20251020,-797037
20251021,-1910025
20251022,-47000
20251023,-277008
20251027,715607
20251028,868099
20251029,-308702
20251030,-755017
20251031,5538100
20251103,2833092
20251104,2133658
20251105,-4106810
20251106,-2704830
20251107,-820442
20251110,-1106500
20251111,217301
20251112,-1369860
20251113,-128500
20251114,-1390996
20251117,-1135535
20251118,612386
20251119,-692238
20251120,187665
20251121,-3581700
20251124,-2318000
20251125,286622
20251126,836483
20251127,3169555
20251128,-673000
20251201,-2149800
20251202,-1899100
20251203,336228
20251204,189155
20251205,1414100
20251208,6156847
20251209,452355
20251210,1758255
20251211,1942074
20251212,369005
20251215,953450
20251216,-1118172
20251217,213000
20251218,-1432773
20251219,-90812
20251222,-2618500
20251223,-304000
20251224,2428211
20251226,5163900
20251229,-6763450
20251230,521150
20251231,6526700
20260102,-4196423
20260105,-774720
20260106,-413321
20260107,-370927
20260108,460553
20260109,625004
20260112,948503
20260113,544352
20260114,660523
20260115,-20722
20260116,-136822
20260119,646282
20260120,-3321113
20260121,-2079844
20260122,2466162
20260123,1888493
20260126,349855
20260127,-4830368
20260128,-1800774
20260129,2264086
20260130,395912
20260202,2650684
20260203,-81066
20260204,215996
20260205,419751
20260206,1804469
20260209,-2175033
20260210,-3008136
20260211,-495843
20260223,2707081
20260224,3105813
20260225,309683
20260226,3597
20260302,-2171539
20260303,2051821
20260304,1964252
20260305,-34850
20260306,-381700
20260309,829242
20260310,1870000
20260311,-390524
20260312,-371948
20260313,-184548
20260316,16571
20260317,601539
20260318,-457167
20260319,1575171
20260320,-397381
20260323,1820121
20260324,620750
20260325,1967572
20260326,-167201
20260327,2079351
20260330,1092775
20260331,-287271
20260401,1597984
20260402,-1442718
20260407,-1660932
20260408,762530
20260409,-1825639
20260410,-4144985
20260413,-3216157
20260414,-2567700
20260415,3005341
20260416,-7800352
20260417,2669390
20260420,2323495
20260421,2200599
20260422,-183388
20260423,1275303
20260424,421604
20260427,-723518
20260428,-78953
20260429,838908
20260430,-498433
20260504,1771487
20260505,958624
20260506,-1064277
20260507,-374598
20260508,-5721420
20260511,-91217
20260512,-1249
20260513,1042416
20260514,-1121206
20260515,-1600600
20260518,387600
20260519,-2029747
20260520,3230293
20260521,2030706
20260522,-744346
20260525,670114
20260526,1153700
20260527,29639
20260528,1737404
20260529,-1069472
20260601,-13429167
20260602,-3569705
20260603,6371252
20260604,2706770
20260605,-1442696
20260608,-208669
20260609,-721601
20260610,-1011491
20260611,56378
