date,open,high,low,close,volume
20241001,150.5,154.5,150.5,151.5,10581957
20241004,150.0,153.5,149.0,151.0,18726163
20241007,153.0,155.0,152.0,155.0,14192404
20241008,152.5,153.0,151.5,153.0,12059586
20241009,153.0,155.5,153.0,154.0,10363308
20241011,155.0,157.0,153.5,155.0,12079296
20241014,156.0,160.5,155.0,158.0,18333189
20241015,159.5,169.0,158.5,168.5,35033115
20241016,163.5,169.0,163.0,165.0,34622911
20241017,166.0,166.5,163.0,165.5,14981316
20241018,173.0,173.0,161.0,163.5,35763630
20241021,164.0,164.5,161.0,161.5,17040956
20241022,161.5,164.5,161.0,164.0,15332720
20241023,164.0,164.5,161.0,161.5,11816761
20241024,161.0,162.5,159.0,159.0,9582797
20241025,159.0,163.0,159.0,162.0,9439424
20241028,162.5,163.5,159.5,161.0,10599930
20241029,159.5,159.5,155.5,158.5,17401397
20241030,158.5,160.0,157.0,157.0,14852374
20241101,145.5,155.0,145.0,154.0,31210216
20241104,154.5,155.5,151.5,152.5,12753341
20241105,150.0,150.5,148.0,150.0,17713580
20241106,151.0,154.5,150.5,152.0,13491251
20241107,151.5,158.0,151.0,156.0,15701217
20241108,158.0,159.5,155.0,155.5,13412479
20241111,155.0,159.0,153.5,157.5,8077521
20241112,154.0,155.0,152.5,152.5,15428832
20241113,152.5,162.5,152.5,157.0,28179875
20241114,156.0,156.5,152.0,154.0,20519971
20241115,154.0,159.5,153.5,155.0,20817673
20241118,155.0,155.5,150.5,151.5,17860620
20241119,158.0,159.5,153.0,154.5,25193141
20241120,155.5,157.0,154.5,155.0,15599226
20241121,153.0,154.0,150.0,153.5,13432508
20241122,155.5,158.0,155.5,156.5,12232117
20241125,158.0,158.5,156.0,156.0,11487835
20241126,155.0,156.0,154.5,155.0,7976775
20241127,154.5,155.0,150.5,150.5,13087074
20241128,151.0,151.5,146.0,147.0,17410032
20241129,146.5,152.5,146.0,151.5,11717231
20241202,152.5,155.5,152.5,154.5,11201667
20241203,157.0,159.0,154.5,155.0,17881943
20241204,155.0,158.0,153.5,158.0,18060698
20241205,158.5,159.0,156.0,157.5,16654443
20241206,158.5,162.0,158.0,159.5,21024420
20241209,160.0,161.0,158.5,160.0,6697941
20241210,159.0,159.0,157.5,158.0,9895247
20241211,155.5,158.0,155.0,156.0,11412013
20241212,155.0,159.5,155.0,157.0,14233171
20241213,156.5,160.0,156.5,158.5,10552004
20241216,160.0,163.0,159.5,160.5,18192040
20241217,159.0,160.5,157.0,158.0,14559779
20241218,159.0,162.0,159.0,161.0,11571033
20241219,158.0,161.0,157.5,161.0,10891916
20241220,159.5,161.5,157.5,157.5,24344757
20241223,158.5,162.5,158.5,160.5,9870942
20241224,162.0,166.5,162.0,164.5,15136250
20241225,165.5,167.0,165.0,165.5,7896462
20241226,165.5,166.0,163.5,165.0,5287633
20241227,164.5,166.5,164.5,165.0,6215148
20241230,164.0,166.0,163.5,163.5,8547285
20241231,162.0,163.0,161.0,162.0,5569469
20250102,161.5,163.0,160.0,160.5,7539709
20250103,163.0,164.0,160.5,161.0,6091629
20250106,163.5,167.5,163.5,166.0,13633360
20250107,169.5,178.0,168.0,175.0,33766821
20250108,175.0,175.0,171.0,171.5,18188901
20250109,172.5,174.0,165.5,166.0,13116195
20250110,165.0,170.0,165.0,168.5,10794988
20250113,166.0,167.5,161.5,162.5,15674224
20250114,160.5,163.5,160.0,161.0,13553076
20250115,161.0,164.0,159.5,161.5,12483220
20250116,166.5,169.0,165.0,165.0,16764372
20250117,166.5,167.0,163.5,166.0,13290615
