date,net
20241001,-7911000
20241004,-2418000
20241007,1775200
20241008,-1313664
20241009,-3722852
20241011,41909
20241014,98199
20241015,2017804
20241016,-8827000
20241017,3563000
20241018,-4686050
20241021,-249335
20241022,2557979
20241023,-10902468
20241024,-4997096
20241025,-6048800
20241028,808482
20241029,-4783830
20241030,-3409384
20241101,1163800
20241104,319800
20241105,-257188
20241106,697000
20241107,6509000
20241108,-1390572
20241111,-1177045
20241112,-1972960
20241113,-652000
20241114,-2548320
20241115,3846784
20241118,2861506
20241119,961000
20241120,-2126832
20241121,3804784
20241122,-162000
20241125,3520149
20241126,3831000
20241127,-10864000
20241128,1753963
20241129,-735000
20241202,-3994668
20241203,3634063
20241204,3942166
20241205,-3434451
20241206,2059692
20241209,-1402227
20241210,983000
20241211,-7606849
20241212,3697750
20241213,8012473
20241216,4332613
20241217,-19620
20241218,8280000
20241219,-7899238
20241220,-5230734
20241223,10326762
20241224,718108
20241225,-3837638
20241226,-1230000
20241227,998000
20241230,-350320
20241231,756000
20250102,-74000
20250103,-629165
20250106,3224000
20250107,-8837923
20250108,-1160432
20250109,-8150195
20250110,-409569
20250113,5197111
20250114,2169028
20250115,1581597
20250116,170746
20250117,4305000
20250120,-277867
20250121,-768352
20250122,-8115880
20250203,-24020429
20250204,-18119999
20250205,-7220507
20250206,-1354669
20250207,-9942709
20250210,503580
20250211,-11006600
20250212,-1483906
20250213,10723250
20250214,6407000
20250217,6973800
20250218,-362216
20250219,8015798
20250220,-8341114
20250221,5390456
20250224,2655248
20250225,6799496
20250226,-4670000
20250227,-669165
20250303,-5800756
20250304,1570624
20250305,8157000
20250306,-3520439
20250307,-1915439
20250310,11132311
20250311,-7662000
20250312,996265
20250313,-7320439
20250314,726315
20250317,-3368887
20250318,-2632951
20250319,758337
20250320,6651601
20250321,-7395573
20250324,-3787424
20250325,-3013999
20250326,-1187000
20250327,654000
20250328,-2274055
20250331,1313593
20250401,-193220
20250402,212846
20250407,1485000
20250408,5796529
20250409,-1119699
20250410,-23000
20250411,5025064
20250414,-2305786
20250415,1516267
20250416,3037973
20250417,1446215
20250418,-619543
20250421,-1290691
20250422,1561686
20250423,9967177
20250424,-2628243
20250425,310000
20250428,1282303
20250429,2390696
20250430,-823495
20250502,1154241
20250505,2479453
20250506,927171
20250507,1251505
20250508,1859000
20250509,6116980
20250512,7994399
20250513,-2425844
20250514,-930040
20250515,-924728
20250516,-2272100
20250519,1000200
20250520,2367629
20250521,899607
20250522,1088430
20250523,-1820
20250526,2564532
20250527,1871341
20250528,597121
20250529,1801521
20250602,-3936143
20250603,-1529280
20250604,2957601
20250605,2133805
20250606,3154423
20250609,43791
20250610,4320958
20250611,-787569
20250612,226114
20250613,-6855999
20250616,1998732
20250617,1394010
20250618,-1217716
20250619,-10899010
20250620,-3719527
20250623,775226
20250624,7150309
20250625,5227452
20250626,4363915
20250627,2183905
20250630,1887000
20250701,1875441
20250702,-684718
20250703,-7600118
20250704,-17582642
20250707,2147225
20250708,-8015101
20250709,-8382488
20250710,-4426928
20250711,4121956
20250714,1097000
20250715,1686277
20250716,756118
20250717,4812458
20250718,2167508
20250721,751082
20250722,-9169000
20250723,-12760544
20250724,-6153000
20250725,-870000
20250728,-875000
20250729,-4127971
20250730,3721000
20250731,-4903560
20250801,2124750
20250804,-8800909
20250805,4664753
20250806,-315342
20250807,-3465000
20250808,-1166928
20250811,1282500
20250812,6068844
20250813,5513000
20250814,10169850
20250815,1236680
20250818,11193374
20250819,1999564
20250820,-1717195
20250821,8502341
20250822,-220000
20250825,4142486
20250826,1287484
20250827,3985000
20250828,4562986
20250829,-776982
20250901,2053000
20250902,-1869471
20250903,-1903930
20250904,4292000
20250905,6220486
20250908,2220000
20250909,3239000
20250910,7104000
20250911,4645972
20250912,6039200
20250915,-8000501
20250916,13292762
20250917,22653748
20250918,-2629583
20250919,36993769
20250922,-4665420
20250923,38278940
20250924,-13801730
20250925,2322751
20250926,4763760
20250930,33903745
20251001,28780613
20251002,-42045645
20251003,-31541265
20251007,69831849
20251008,-30813571
20251009,-47518341
20251013,8150057
20251014,5082327
20251015,-4265343
20251016,-3863102
20251017,43784439
20251020,-13332323
20251021,3438912
20251022,-56231808
20251023,17886054
20251027,154054942
20251028,-70101553
20251029,36562554
20251030,47749681
20251031,-52010119
20251103,-38511769
20251104,8055501
20251105,21682278
20251106,14427831
20251107,-2100378
20251110,15385327
20251111,57691402
20251112,29479636
20251113,-12882155
20251114,801683
20251117,-33219446
20251118,56494283
20251119,-25414483
20251120,-2711400
20251121,-3609595
20251124,-32019629
20251125,33917843
20251126,-26813611
20251127,37302570
20251128,11317020
20251201,-17190036
20251202,-66943542
20251203,-14724745
20251204,-6484938
20251205,14132210
20251208,897203
20251209,50592992
20251210,-18179726
20251211,-16478472
20251212,68396662
20251215,-1567317
20251216,-33933285
20251217,18614599
20251218,51639259
20251219,29517541
20251222,85118995
20251223,-92260429
20251224,35261001
20251226,-73282727
20251229,-20096045
20251230,19743551
20251231,-33376360
20260102,100042731
20260105,-29805636
20260106,-514077
20260107,-13171090
20260108,18146087
20260109,19924040
20260112,20914517
20260113,17850206
20260114,1907894
20260115,5346244
20260116,9137128
20260119,-3988768
20260120,1935264
20260121,-35157560
20260122,9023611
20260123,-51642412
20260126,-6075228
20260127,1549147
20260128,54585583
20260129,-39192745
20260130,77525336
20260202,-59150117
20260203,7255138
20260204,71080410
20260205,-48578854
20260206,41642511
20260209,-51136933
20260210,-4251878
20260211,-18996348
20260223,61785187
20260224,37989725
20260225,26535362
20260226,-41639263
20260302,-10074064
20260303,-50018395
20260304,-1998019
20260305,-13218626
20260306,9805092
20260309,6051676
20260310,3462048
20260311,8122499
20260312,-58857141
20260313,728600
20260316,-37773619
20260317,46729923
20260318,-67097216
20260319,86664941
20260320,-7297509
20260323,-34172166
20260324,-80661819
20260325,-22109009
20260326,-30741512
20260327,-16467137
20260330,-20516963
20260331,25176015
20260401,-26512755
20260402,774814
20260407,133927
20260408,6312344
20260409,-50291726
20260410,13189540
20260413,-17225795
20260414,698298
20260415,-15932416
20260416,13927213
20260417,-10496731
20260420,30632773
20260421,1106778
20260422,1499356
20260423,-49235305
20260424,-1455133
20260427,10650108
20260428,5436415
20260429,-7400246
20260430,-7471330
20260504,7630433
20260505,26477943
20260506,-15613676
20260507,32194271
20260508,-59021925
20260511,-23964615
20260512,2739759
20260513,-14996916
20260514,18866594
20260515,56005088
20260518,-18223690
20260519,-31831373
20260520,-4111474
20260521,2337081
20260522,97358994
20260525,70164018
20260526,60134974
20260527,74731476
20260528,120703756
20260529,-4909251
20260601,-158006128
20260602,7502915
20260603,5424496
20260604,16878992
20260605,13177351
20260608,-1271647
20260609,-3218300
20260610,-73783942
20260611,-1018493
