date,net
20241001,1129315
20241004,-7938230
20241007,-3485346
20241008,2382186
20241009,1707137
20241011,-218312
20241014,1503169
20241015,3392865
20241016,-1591711
20241017,2047005
20241018,5555991
20241021,-196205
20241022,1895075
20241023,-384403
20241024,-314804
20241025,3564347
20241028,2612577
20241029,984079
20241030,303943
20241101,-2143742
20241104,-860914
20241105,2031299
20241106,937114
20241107,-1877030
20241108,1390130
20241111,2292944
20241112,1076556
20241113,-1626036
20241114,19543
20241115,-321153
20241118,-721637
20241119,-619129
20241120,-1481198
20241121,-3555610
20241122,2159013
20241125,294466
20241126,-1136819
20241127,208106
20241128,-1907817
20241129,-2190912
20241202,707353
20241203,-346755
20241204,412465
20241205,-352962
20241206,3037946
20241209,2644422
20241210,-418340
20241211,6219299
20241212,431418
20241213,4541950
20241216,1917608
20241217,807250
20241218,1681642
20241219,-177833
20241220,346339
20241223,883321
20241224,993730
20241225,390771
20241226,647979
20241227,495444
20241230,1156673
20241231,-845081
20250102,3410588
20250103,4195383
20250106,1590842
20250107,3579843
20250108,1036545
20250109,-587639
20250110,409561
20250113,-2706294
20250114,1650104
20250115,821694
20250116,3427636
20250117,1540876
20250120,140142
20250121,179425
20250122,2777261
20250203,-8916073
20250204,-496105
20250205,1951483
20250206,3772932
20250207,-334358
20250210,-1767222
20250211,-1710315
20250212,-1514505
20250213,-103092
20250214,-1450847
20250217,220067
20250218,-14709606
20250219,-2393197
20250220,-3420804
20250221,-1353868
20250224,-2418727
20250225,-1902728
20250226,-995571
20250227,2798434
20250303,-4152821
20250304,-10153833
20250305,-3807662
20250306,-1069250
20250307,-4639315
20250310,-1277534
20250311,-922811
20250312,1563800
20250313,2914182
20250314,-2381002
20250317,4720052
20250318,2897928
20250319,-880836
20250320,468397
20250321,180291
20250324,2629140
20250325,-935459
20250326,6145984
20250327,-701539
20250328,-3796123
20250331,-2342634
20250401,-1107857
20250402,-212092
20250407,-100006
20250408,353963
20250409,-55778
20250410,-1032149
20250411,2538133
20250414,-1556290
20250415,-658695
20250416,-367389
20250417,-1564292
20250418,372158
20250421,-121091
20250422,241165
20250423,1426416
20250424,-222150
20250425,-990984
20250428,1179581
20250429,-49706
20250430,-1829258
20250502,3278105
20250505,2051004
20250506,917325
20250507,1442251
20250508,2100925
20250509,1939029
20250512,-196851
20250513,-590411
20250514,-1327124
20250515,-135839
20250516,121577
20250519,-732771
20250520,202627
20250521,1825775
20250522,1768825
20250523,1197674
20250526,684824
20250527,-662166
20250528,-23919
20250529,-422452
20250602,-1229566
20250603,4704759
20250604,640105
20250605,2920965
20250606,-593111
20250609,700744
20250610,399720
20250611,54884
20250612,36399
20250613,778931
20250616,1446737
20250617,1337771
20250618,1552175
20250619,1665091
20250620,721148
20250623,1193089
20250624,5551774
20250625,2530813
20250626,581254
20250627,2040787
20250630,-83160
20250701,5202411
20250702,946112
20250703,5368377
20250704,6539147
20250707,1889542
20250708,4629855
20250709,1841850
20250710,2182901
20250711,-67181
20250714,1512130
20250715,1514314
20250716,231870
20250717,-1476233
20250718,1695014
20250721,2259099
20250722,2230779
20250723,2319308
20250724,-1013763
20250725,1294835
20250728,259722
20250729,849045
20250730,393115
20250731,1340721
20250801,2505951
20250804,2189606
20250805,-413791
20250806,-47720
20250807,203419
20250808,1268238
20250811,-114776
20250812,538755
20250813,3175226
20250814,-4108330
20250815,-553159
20250818,-4075046
20250819,-539031
20250820,339171
20250821,-1480134
20250822,850687
20250825,-1432965
20250826,-98601
20250827,-2323246
20250828,-3038276
20250829,-1481886
20250901,1535176
20250902,2032752
20250903,2104844
20250904,456788
20250905,5619749
20250908,-1718071
20250909,-115050
20250910,-2679673
20250911,-2568291
20250912,-1122567
20250915,-767524
20250916,-819591
20250917,-1356708
20250918,-158741
20250919,-4461727
20250922,-1185644
20250923,-6583440
20250924,-755979
20250925,-1235737
20250926,-4098067
20250930,-1857165
20251001,1515052
20251002,3057100
20251003,3382855
20251007,-3474787
20251008,-2812280
20251009,-2263085
20251013,1267484
20251014,-4362961
20251015,-924217
20251016,855831
20251017,-2866673
20251020,-501875
20251021,1705738
20251022,-52235
20251023,-164320
20251027,5148075
20251028,-602985
20251029,-3650185
20251030,-9184848
20251031,-5846564
