date,net
20241001,-491027
20241004,-1051515
20241007,237919
20241008,-481471
20241009,-188218
20241011,-1388222
20241014,599423
20241015,423841
20241016,-474899
20241017,-630482
20241018,181733
20241021,-2063
20241022,-1089039
20241023,-477276
20241024,-423350
20241025,166567
20241028,-504419
20241029,-1756666
20241030,-3581194
20241101,-496522
20241104,-152325
20241105,-363150
20241106,-136371
20241107,-244196
20241108,-1122933
20241111,30352
20241112,-970785
20241113,-243233
20241114,-977978
20241115,41505
20241118,-115290
20241119,-481650
20241120,-602857
20241121,298300
20241122,-99166
20241125,-307361
20241126,-153767
20241127,-809286
20241128,-814833
20241129,-118735
20241202,-480028
20241203,-973807
20241204,424092
20241205,-2147300
20241206,-361003
20241209,-867403
20241210,166475
20241211,-649007
20241212,-361888
20241213,-667448
20241216,-18231
20241217,-33805
20241218,278381
20241219,-594307
20241220,-278834
20241223,333733
20241224,-204013
20241225,108478
20241226,-265027
20241227,-408224
20241230,-344341
20241231,124066
20250102,4137
20250103,817366
20250106,755150
20250107,-811963
20250108,-255300
20250109,-843260
20250110,-380167
20250113,-1153386
20250114,-34145
20250115,165115
20250116,-8898
20250117,-189708
20250120,-6598
20250121,-49670
20250122,302198
20250203,-728475
20250204,-303920
20250205,2341816
20250206,-263156
20250207,-845002
20250210,-157599
20250211,-326604
20250212,662086
20250213,-201128
20250214,-61720
20250217,-182998
20250218,403001
20250219,130322
20250220,657679
20250221,-166016
20250224,-386360
20250225,-248175
20250226,573665
20250227,-984244
20250303,-2280486
20250304,260673
20250305,-781842
20250306,-713090
20250307,-914114
20250310,-956029
20250311,-272207
20250312,225656
20250313,-734587
20250314,-362781
20250317,-195464
20250318,359598
20250319,59793
20250320,47766
20250321,-135381
20250324,-609146
20250325,-634069
20250326,180994
20250327,89689
20250328,-1139639
20250331,4316
20250401,-352983
20250402,1199185
20250407,-3929
20250408,-1465527
20250409,-38270
20250410,139915
20250411,-659310
20250414,699699
20250415,192995
20250416,3897
20250417,-100727
20250418,-1606288
20250421,116502
20250422,449836
20250423,221874
20250424,-504252
20250425,535249
20250428,54569
20250429,98011
20250430,216936
20250502,64612
20250505,113322
20250506,448810
20250507,2389
20250508,800897
20250509,-425355
20250512,707417
20250513,-1052899
20250514,247006
20250515,82171
20250516,463771
20250519,-1263410
20250520,-464448
20250521,524737
20250522,-84179
20250523,-267189
20250526,17110
20250527,-317871
20250528,-362887
20250529,-52412
20250602,-900094
20250603,365782
20250604,266959
20250605,-772560
20250606,-178254
20250609,65037
20250610,-1553412
20250611,-719967
20250612,-1265684
20250613,-92192
20250616,599489
20250617,-162513
20250618,-174891
20250619,-935113
20250620,-214774
20250623,230413
20250624,892344
20250625,188426
20250626,767747
20250627,1969014
20250630,-81952
20250701,520995
20250702,939649
20250703,788333
20250704,-413749
20250707,85129
20250708,389
20250709,614515
20250710,140537
20250711,350194
20250714,110583
20250715,530171
20250716,-522298
20250717,248974
20250718,-55763
20250721,405745
20250722,483160
20250723,1731151
20250724,-227412
20250725,21122
20250728,206727
20250729,294582
20250730,-1502835
20250731,114381
20250801,1002535
20250804,-298256
20250805,815616
20250806,-804408
20250807,550844
20250808,360588
20250811,707844
20250812,294250
20250813,616248
20250825,-4229828
20250826,-3928532
20250827,-4466895
20250828,-3083917
20250829,-1901545
20250901,-2325232
20250902,2401498
20250903,473693
20250904,-2181996
20250905,313896
20250908,2272121
20250909,-1567368
20250910,2680755
20250911,-3873769
20250912,6241635
20250915,-12161318
20250916,-2375770
20250917,-3118610
20250918,-3246976
20250919,10182704
20250922,-21090285
20250923,-2349779
20250924,-6579751
20250925,-15468405
20250926,-3529678
20250930,-3554977
20251001,-3792586
20251002,5438334
20251003,1491168
20251007,2079890
20251008,-4057116
20251009,-5807697
20251013,63626
20251014,-4905322
20251015,-763272
20251016,5128289
