date,net
20260508,-8209916
20260511,-25831579
20260512,-13854220
20260513,-5070924
20260514,-18463026
20260515,3807776
20260518,-4640955
20260519,-5136070
20260520,-9072932
20260521,-1339561
20260522,-1604543
20260525,6848353
20260526,20760526
20260527,-22844911
20260528,17811425
20260529,2204471
20260601,-6058784
20260602,-13506864
20260603,19241952
20260604,8467809
20260605,-7031387
20260608,-8064088
20260609,-4964933
20260610,-12963467
20260611,253075
