stock_id,name,sector,signal_date,entry_date,entry_price,exit_date,exit_price,exit_reason,holding_days,return_pct,label,rsi,ret_20d,cv_sharpe,cv_win_rate,bias_ma5,bias_ma10,bias_ma20,ma_bull,mom5,mom20,vol20,dist_high60,sector_ret20,sector_strong,chip_dir,taiex_bull,taiex_bias
3205,十銓,記憶體,20230327,20230328,40.0,20230509,44.0,MA10,26,10.0,1,48.1,-10.1,-0.29,0.33,-1.3111,1.2225,-1.2228,,4.5455,-10.0977,2.8428,-10.0977,6.46,1.0,0.0,1.0,4.32
3450,聯鈞,光通訊,20230327,20230328,40.6,20230801,46.5,MA10,84,14.53,1,70.7,1.1,-1.28,0.5,1.1905,2.8522,1.8462,,3.607,1.0922,1.1597,-1.6529,3.79,1.0,0.0,1.0,4.32
6510,精測,封測,20230327,20230328,587.0,20230424,491.0,SL,16,-16.35,0,48.8,0.7,0.0,0.0,-2.0944,0.7182,0.5806,,1.5517,0.6838,2.0458,-6.3593,5.51,1.0,0.0,1.0,4.32
2408,南亞科,記憶體,20230328,20230329,61.0,20230607,71.9,MA10,46,17.87,1,71.0,7.0,-5.9,0.17,1.494,4.0453,5.5119,,6.6553,7.0205,2.0522,-1.2638,5.17,1.0,0.0,1.0,3.33
3450,聯鈞,光通訊,20230329,20230330,40.3,20230801,46.5,MA10,82,15.38,1,39.5,-1.7,-0.72,0.5,-1.6593,-0.7145,-1.3585,,-1.7073,-1.7073,1.2647,-4.8406,6.21,1.0,0.0,1.0,3.59
4938,和碩,AI伺服器,20230329,20230330,69.9,20230727,77.5,MA10,79,10.87,1,64.2,2.8,-16.25,0.0,0.1433,1.0992,1.2603,,0.7205,2.7941,1.0787,0.0,7.05,1.0,0.0,1.0,3.59
8086,宏捷科,光通訊,20230329,20230330,87.8,20230717,96.6,MA10,71,10.02,1,83.7,10.4,-3.41,0.17,3.9834,7.4902,9.1585,,8.9629,10.3761,2.3276,0.0,6.21,1.0,0.0,1.0,3.59
2337,旺宏,記憶體,20230330,20230331,35.05,,,OPEN,,,,61.2,-0.1,-4.86,0.33,1.1645,1.5191,1.216,,2.0558,-0.1437,1.4653,-2.7972,8.61,1.0,0.0,1.0,3.93
3665,貿聯-KY,光通訊,20230330,20230331,279.0,20230707,313.0,MA10,64,12.19,1,60.4,-1.8,0.0,0.0,1.2013,1.534,1.2382,,1.0909,-1.7668,1.5114,-3.3043,6.92,1.0,0.0,1.0,3.93
4979,華星光,光通訊,20230330,20230331,51.5,20230421,51.0,FLOOR,12,-0.97,0,72.3,5.2,-2.28,0.44,3.1117,7.3016,6.0503,,10.3373,5.1867,3.0056,-2.1236,6.92,1.0,0.0,1.0,3.93
5292,華懋,綠能環保,20230331,20230406,73.7,20230525,0.0,SL,34,-100.0,0,53.1,2.5,-0.21,0.5,0.2173,0.4218,0.3877,,1.3736,2.5,3.0012,-7.98,2.5,0.0,,1.0,3.89
2337,旺宏,記憶體,20230407,20230410,34.85,,,OPEN,,,,62.3,0.3,-4.61,0.33,1.5896,2.0467,2.6202,,3.6873,0.2853,1.4782,-1.6783,9.85,1.0,0.0,1.0,3.34
2357,華碩,AI伺服器,20230407,20230410,271.0,20230616,316.5,MA10,48,16.79,1,45.5,-6.7,0.0,0.0,-0.5158,-0.1295,-0.4883,,0.5587,-6.7358,2.4106,-7.8498,6.03,1.0,0.0,1.0,3.34
3665,貿聯-KY,光通訊,20230407,20230410,274.5,20230707,313.0,MA10,61,14.03,1,44.5,-4.2,0.0,0.0,-1.0909,-0.9649,-0.4028,,1.1152,-4.2254,1.4988,-5.3913,4.6,1.0,0.0,1.0,3.34
5292,華懋,綠能環保,20230407,20230410,72.4,20230515,78.0,MA10,24,7.73,1,55.8,2.8,1.35,0.5,0.271,0.7625,0.4071,,0.955,2.7778,3.002,-7.7307,2.78,0.0,,1.0,3.34
3034,聯詠,IC設計,20230410,20230411,463.5,20230810,393.5,SL,83,-15.1,0,74.5,4.2,0.0,0.0,3.1819,3.8765,4.4645,,8.0918,4.1909,1.7036,0.0,1.32,0.0,0.0,1.0,3.42
6187,萬潤,CoPoS封裝,20230410,20230411,69.0,20230616,89.0,MA10,47,28.99,1,50.0,-5.8,-1.95,0.17,-0.1179,-0.0295,0.1699,,1.497,-5.8333,1.5094,-6.0942,-5.81,0.0,,1.0,3.42
6257,矽格,封測,20230410,20230411,55.6,,,OPEN,,,,39.1,-1.4,-2.42,0.5,-0.6468,-0.5932,-0.5932,,0.0,-1.426,0.6918,-2.812,-0.04,0.0,0.0,1.0,3.42
2441,超豐,封測,20230411,20230412,54.9,,,OPEN,,,,63.4,-2.0,-13.7,0.0,0.7047,1.3438,0.7608,,2.6465,-1.9856,1.0206,-1.9856,0.12,0.0,0.0,1.0,3.47
3205,十銓,記憶體,20230411,20230412,41.4,20230605,48.5,MA10,37,17.15,1,51.3,-5.7,-4.67,0.17,0.0972,0.5614,0.8444,,3.6478,-5.7208,2.9818,-10.532,9.48,1.0,0.0,1.0,3.47
3535,晶彩科,CoPoS封裝,20230411,20230412,22.65,20230511,19.2,SL,20,-15.23,0,51.3,-4.3,-7.85,0.17,0.0892,0.1561,0.5824,,0.6726,-4.2644,1.3844,-7.6132,2.97,0.0,,1.0,3.47
1533,車王電,車用電子,20230412,20230413,52.3,20230710,67.0,MA10,59,28.11,1,73.8,4.4,-9.68,0.08,2.5341,2.9959,2.7344,,3.5433,4.3651,2.2964,-2.4119,-0.02,0.0,,1.0,3.39
4919,新唐,IC設計,20230412,20230413,147.0,20230511,124.0,SL,19,-15.65,0,55.2,3.4,0.0,0.0,0.7388,1.1463,0.8403,,0.3344,3.4483,2.3178,-5.9561,1.97,0.0,,1.0,3.39
6789,采鈺,CoPoS封裝,20230412,20230413,243.0,20230511,203.0,SL,19,-16.46,0,79.0,3.2,0.0,0.0,5.1392,6.3461,7.0416,,7.6754,3.1513,2.0582,-1.996,5.41,1.0,,1.0,3.39
2441,超豐,封測,20230414,20230417,54.7,,,OPEN,,,,59.9,2.1,-13.7,0.0,0.4415,1.3551,1.1954,,0.9242,2.0561,1.033,-1.444,0.99,0.0,0.0,1.0,2.99
6187,萬潤,CoPoS封裝,20230414,20230417,67.1,20230616,89.0,MA10,43,32.64,1,36.1,-1.8,-1.95,0.17,-1.591,-1.4459,-1.0444,,-1.62,-1.7647,1.3681,-7.4792,4.81,1.0,,1.0,2.99
2317,鴻海,AI伺服器,20230417,20230418,104.5,,,OPEN,,,,56.3,1.5,2.85,0.33,0.4831,0.4346,0.5074,,0.9709,1.4634,0.9555,-1.4218,9.44,1.0,0.0,1.0,3.02
3406,玉晶光,光學,20230418,20230419,387.5,,,OPEN,,,,52.1,1.8,0.0,0.0,-0.2302,0.7231,-0.0513,,1.8277,1.8277,1.3807,-7.2533,-2.86,0.0,0.0,1.0,2.24
4966,譜瑞-KY,IC設計,20230418,20230419,1115.0,20230427,940.0,SL,6,-15.7,0,60.1,0.5,0.0,0.0,2.3148,3.7559,3.2228,,1.3761,0.4545,3.6873,-2.6432,-1.59,0.0,,1.0,2.24
5443,均豪,CoPoS封裝,20230418,20230419,29.2,20230620,32.05,MA10,43,9.76,1,66.8,3.2,-7.91,0.17,1.0292,1.4643,1.2375,,2.4348,3.1524,0.8176,-4.2276,5.46,1.0,,1.0,2.24
6640,均華,CoPoS封裝,20230418,20230419,88.4,20230424,0.0,SL,3,-100.0,0,54.1,0.6,-9.18,0.0,-0.2466,10.7241,5.0395,,-0.4474,0.565,22.977,-5.7203,5.46,1.0,,1.0,2.24
2317,鴻海,AI伺服器,20230502,20230503,105.5,,,OPEN,,,,75.9,2.4,2.47,0.33,1.8252,1.8252,2.0949,,2.4155,2.4155,0.7146,0.0,6.83,1.0,0.0,1.0,0.04
6640,均華,CoPoS封裝,20230503,20230504,86.9,20230524,0.0,SL,14,-100.0,0,53.5,-2.8,-9.19,0.0,-1.0701,9.5562,8.8291,,-0.6857,-2.7964,32.3144,-7.9449,-2.09,0.0,,0.0,-0.52
