date,close
20221026,12729.05
20221027,12926.37
20221028,12788.42
20221031,12949.75
20221101,13037.21
20221102,13100.17
20221103,12986.6
20221104,13026.71
20221107,13223.73
20221108,13347.76
20221109,13638.81
20221110,13503.76
20221111,14007.56
20221114,14174.9
20221115,14546.31
20221116,14537.35
20221117,14535.23
20221118,14504.99
20221121,14449.39
20221122,14542.2
20221123,14608.54
20221124,14784.0
20221125,14778.51
20221128,14556.87
20221129,14709.64
20221130,14879.55
20221201,15012.8
20221202,14970.68
20221205,14980.74
20221206,14728.88
20221207,14630.01
20221208,14553.04
20221209,14705.43
20221212,14612.59
20221213,14522.96
20221214,14739.36
20221215,14734.13
20221216,14528.55
20221219,14433.32
20221220,14170.03
20221221,14234.4
20221222,14442.94
20221223,14271.63
20221226,14285.13
20221227,14328.43
20221228,14173.1
20221229,14085.02
20221230,14137.69
20230103,14224.12
20230104,14199.13
20230105,14301.05
20230106,14373.34
20230109,14752.21
20230110,14802.96
20230111,14751.44
20230112,14731.64
20230113,14824.13
20230116,14927.01
20230117,14932.93
20230130,15493.82
20230131,15265.2
20230201,15420.13
20230202,15595.16
20230203,15602.66
20230206,15392.82
20230207,15400.91
20230208,15618.17
20230209,15598.71
20230210,15586.65
20230213,15544.28
20230214,15654.48
20230215,15432.89
20230216,15550.5
20230217,15479.7
20230220,15551.23
20230221,15563.0
20230222,15418.77
20230223,15615.41
20230224,15503.79
20230301,15598.49
20230302,15598.72
20230303,15608.42
20230306,15763.51
20230307,15857.89
20230308,15818.2
20230309,15770.66
20230310,15526.2
20230313,15560.49
20230314,15360.42
20230315,15387.59
20230316,15221.12
20230317,15452.96
20230320,15419.97
20230321,15513.45
20230322,15760.46
20230323,15863.95
20230324,15914.7
20230327,15830.31
20230328,15701.48
20230329,15769.76
20230330,15849.43
20230331,15868.06
20230406,15810.77
20230407,15836.5
20230410,15876.17
20230411,15913.88
20230412,15932.97
20230413,15804.76
20230414,15929.43
20230417,15963.55
20230418,15869.44
20230419,15770.47
20230420,15707.52
20230421,15602.99
20230424,15626.87
20230425,15370.73
20230426,15374.63
20230427,15411.49
20230428,15579.18
20230502,15636.48
20230503,15553.41
20230504,15609.03
20230505,15626.07
20230508,15699.57
20230509,15727.7
20230510,15641.76
20230511,15514.64
20230512,15502.36
20230515,15475.05
20230516,15673.9
20230517,15925.29
20230518,16101.88
20230519,16174.92
20230522,16180.89
20230523,16188.03
20230524,16159.32
20230525,16292.0
20230526,16505.05
20230529,16636.3
20230530,16622.74
20230531,16578.96
20230601,16512.65
20230602,16706.91
20230605,16714.43
20230606,16761.66
20230607,16922.48
20230608,16733.69
20230609,16886.4
20230612,16955.37
20230613,17216.6
20230614,17238.14
20230615,17334.98
20230616,17288.91
20230619,17274.56
20230620,17184.91
20230621,17202.4
20230626,17059.24
20230627,16887.9
20230628,16935.63
20230629,16942.3
20230630,16915.54
20230703,17084.2
20230704,17140.77
20230705,17056.43
20230706,16762.17
20230707,16664.21
20230710,16652.8
20230711,16898.91
20230712,16962.03
20230713,17061.4
20230714,17283.71
20230717,17334.29
20230718,17227.91
20230719,17116.44
20230720,17164.89
20230721,17030.7
20230724,17033.61
20230725,17198.89
20230726,17162.55
20230727,17241.82
20230728,17292.93
20230731,17145.43
20230801,17212.87
20230802,16893.73
20230804,16843.68
20230807,16996.0
20230808,16877.07
20230809,16870.94
20230810,16634.7
20230811,16601.25
20230814,16393.66
20230815,16454.8
20230816,16446.78
20230817,16516.66
20230818,16381.31
20230821,16381.49
20230822,16437.61
20230823,16576.9
20230824,16770.87
20230825,16481.58
20230828,16509.26
20230829,16623.65
20230830,16719.82
20230831,16634.51
20230901,16644.94
20230904,16789.69
20230905,16791.61
20230906,16738.16
20230907,16619.14
20230908,16576.02
20230911,16432.95
20230912,16572.71
20230913,16581.51
20230914,16807.56
20230915,16920.92
20230918,16698.24
20230919,16636.32
20230920,16534.75
20230921,16316.67
20230922,16344.48
20230925,16452.23
20230926,16276.07
20230927,16310.36
20230928,16353.74
20231002,16557.31
20231003,16454.34
20231004,16273.38
20231005,16453.52
20231006,16520.57
20231011,16672.03
20231012,16825.91
20231013,16782.57
20231016,16652.24
20231017,16642.55
20231018,16440.91
20231019,16452.73
20231020,16440.72
20231023,16251.36
20231024,16309.76
20231025,16358.89
20231026,16073.74
20231027,16134.61
20231030,16149.68
20231031,16001.27
20231101,16038.56
20231102,16396.95
20231103,16507.65
20231106,16649.36
20231107,16684.95
20231108,16740.83
20231109,16745.65
20231110,16682.67
20231113,16839.29
20231114,16915.71
20231115,17128.78
